Character,Slot,Set,Level,Main_Stat,Main_Value,Sub1,Sub1_Val,Sub2,Sub2_Val,Sub3,Sub3_Val,Sub4,Sub4_Val,Crit_Value
Keqing,Flower,Brave Heart,+20,HP,4780.0,DEF,21.0,Crit Rate,14.0,ATK%,9.9,Crit DMG,14.0,42.0
Keqing,Plume,Brave Heart,+20,ATK,311.0,Crit Rate,14.4,Crit DMG,14.8,EM,19.0,DEF%,6.6,43.6
Keqing,Sands,Maiden Beloved,+20,ATK%,46.6,HP,209.0,ATK,19.0,Crit DMG,21.8,Crit Rate,13.2,48.2
Keqing,Goblet,Brave Heart,+20,Electro DMG%,46.6,Crit DMG,32.6,Crit Rate,7.8,ATK,18.0,DEF,16.0,48.2
Keqing,Circlet,Brave Heart,+20,Crit Rate,31.1,EM,23.0,ATK%,9.3,HP%,9.9,Crit DMG,26.4,26.4
Kaedehara Kazuha,Flower,Viridescent Venerer,+20,HP,4780.0,EM,82.0,DEF%,10.9,ATK%,5.3,ER%,4.5,0.0
Kaedehara Kazuha,Plume,Viridescent Venerer,+20,ATK,311.0,EM,82.0,DEF%,16.8,Crit Rate,2.7,DEF,16.0,5.4
Kaedehara Kazuha,Sands,Viridescent Venerer,+20,EM,187.0,ATK%,4.7,HP,209.0,ATK,35.0,DEF,81.0,0.0
Kaedehara Kazuha,Goblet,Pale Flame,+20,EM,187.0,Crit Rate,8.9,DEF,21.0,ATK,66.0,Crit DMG,7.8,25.6
Kaedehara Kazuha,Circlet,Viridescent Venerer,+20,EM,187.0,ATK%,9.9,DEF%,11.7,HP%,4.7,ATK,51.0,0.0
Nahida,Flower,Brave Heart,+20,HP,4780.0,Crit Rate,9.7,ER%,4.5,EM,19.0,Crit DMG,28.0,47.4
Nahida,Plume,Brave Heart,+20,ATK,311.0,Crit Rate,10.1,Crit DMG,18.7,ER%,5.2,DEF,37.0,38.9
Nahida,Sands,Thundersoother,+20,EM,187.0,Crit DMG,13.2,DEF%,5.1,Crit Rate,13.2,ER%,4.5,39.6
Nahida,Goblet,Brave Heart,+20,Dendro DMG%,46.6,Crit Rate,9.7,Crit DMG,13.2,EM,58.0,ER%,5.2,32.6
Nahida,Circlet,Brave Heart,+20,Crit DMG,62.2,Crit Rate,7.8,HP%,9.3,DEF,21.0,EM,56.0,15.6
Bennett,Flower,Noblesse Oblige,+20,HP,4780.0,HP%,4.1,Crit DMG,26.4,ER%,5.2,Crit Rate,7.0,40.4
Bennett,Plume,Noblesse Oblige,+20,ATK,311.0,ER%,11.7,Crit DMG,21.0,Crit Rate,6.6,DEF,19.0,34.2
Bennett,Sands,Noblesse Oblige,+20,ER%,51.8,Crit Rate,5.4,HP,418.0,Crit DMG,22.5,ATK,33.0,33.3
Bennett,Goblet,Obsidian Codex,+20,HP%,46.6,Crit Rate,10.5,ER%,18.1,DEF,21.0,Crit DMG,5.4,26.4
Bennett,Circlet,Noblesse Oblige,+20,Crit Rate,31.1,Crit DMG,5.4,DEF%,12.4,ER%,12.3,DEF,53.0,5.4
Eula,Flower,Shimenawa's Reminiscence,+20,HP,4780.0,ATK,16.0,Crit Rate,17.9,Crit DMG,5.4,ATK%,8.7,41.2
Eula,Plume,Shimenawa's Reminiscence,+20,ATK,311.0,Crit DMG,14.8,Crit Rate,10.9,ER%,5.8,ATK%,9.9,36.6
Eula,Sands,Shimenawa's Reminiscence,+20,ATK%,46.6,Crit Rate,9.3,Crit DMG,28.0,HP,209.0,ER%,5.2,46.6
