Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Keqing,90,19391,2002,889,42,100.0,85.5,242.1,Pyro,18.0,208.4,3
Kaedehara Kazuha,90,18959,1547,1243,1036,104.5,16.7,57.8,Anemo,15.0,31.0,1
Nahida,90,16107,1336,720,600,119.4,55.6,185.2,Dendro,46.6,174.1,3
Bennett,90,23879,1143,959,0,280.9,73.6,130.8,N/A,0.0,139.7,5
Eula,90,19602,2459,800,0,115.5,71.1,204.2,N/A,0.0,185.8,1
Zhongli,90,18503,1007,856,23,100.0,47.4,160.5,Geo,75.4,66.9,1
Arlecchino,90,18733,2251,922,147,100.0,88.5,191.7,Pyro,46.6,163.9,4
Fischl,90,14452,1977,638,139,173.3,74.6,145.6,Electro,46.6,172.6,1
Raiden Shogun,90,21220,1581,822,23,240.6,39.4,214.0,Electro,102.8,154.6,1
Furina,90,38136,1062,822,0,178.7,65.4,216.3,N/A,0.0,186.5,5
ID_10000126,80,20614,1457,1637,58,100.0,97.3,237.3,Geo,46.6,192.8,3
Columbina,80,34506,990,558,40,117.5,77.6,275.8,N/A,0.0,175.8,1
