Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Keqing,90,19391,2002,889,42,100.0,85.5,242.1,Pyro,18.0,208.4,Brave Heart,HP,4780,42,DEF:21 | Crit Rate:14 | ATK%:9.9 | Crit DMG:14,Brave Heart,ATK,311,43.6,Crit Rate:14.4 | Crit DMG:14.8 | EM:19 | DEF%:6.6,Maiden Beloved,ATK%,46.6,48.2,HP:209 | ATK:19 | Crit DMG:21.8 | Crit Rate:13.2,Brave Heart,Electro DMG%,46.6,48.2,Crit DMG:32.6 | Crit Rate:7.8 | ATK:18 | DEF:16,Brave Heart,Crit Rate,31.1,26.4,EM:23 | ATK%:9.3 | HP%:9.9 | Crit DMG:26.4
Kaedehara Kazuha,90,18959,1547,1243,1036,104.5,16.7,57.8,Anemo,15.0,31.0,Viridescent Venerer,HP,4780,0,EM:82 | DEF%:10.9 | ATK%:5.3 | ER%:4.5,Viridescent Venerer,ATK,311,5.4,EM:82 | DEF%:16.8 | Crit Rate:2.7 | DEF:16,Viridescent Venerer,EM,187,0,ATK%:4.7 | HP:209 | ATK:35 | DEF:81,Pale Flame,EM,187.0,25.6,Crit Rate:8.9 | DEF:21 | ATK:66 | Crit DMG:7.8,Viridescent Venerer,EM,187.0,0.0,ATK%:9.9 | DEF%:11.7 | HP%:4.7 | ATK:51
Nahida,90,16107,1336,720,600,119.4,55.6,185.2,Dendro,46.6,174.1,Brave Heart,HP,4780,47.4,Crit Rate:9.7 | ER%:4.5 | EM:19 | Crit DMG:28,Brave Heart,ATK,311,38.9,Crit Rate:10.1 | Crit DMG:18.7 | ER%:5.2 | DEF:37,Thundersoother,EM,187,39.6,Crit DMG:13.2 | DEF%:5.1 | Crit Rate:13.2 | ER%:4.5,Brave Heart,Dendro DMG%,46.6,32.6,Crit Rate:9.7 | Crit DMG:13.2 | EM:58 | ER%:5.2,Brave Heart,Crit DMG,62.2,15.6,Crit Rate:7.8 | HP%:9.3 | DEF:21 | EM:56
Bennett,90,23879,1143,959,0,280.9,73.6,130.8,N/A,0.0,139.7,Noblesse Oblige,HP,4780,40.4,HP%:4.1 | Crit DMG:26.4 | ER%:5.2 | Crit Rate:7,Noblesse Oblige,ATK,311,34.2,ER%:11.7 | Crit DMG:21 | Crit Rate:6.6 | DEF:19,Noblesse Oblige,ER%,51.8,33.3,Crit Rate:5.4 | HP:418 | Crit DMG:22.5 | ATK:33,Obsidian Codex,HP%,46.6,26.4,Crit Rate:10.5 | ER%:18.1 | DEF:21 | Crit DMG:5.4,Noblesse Oblige,Crit Rate,31.1,5.4,Crit DMG:5.4 | DEF%:12.4 | ER%:12.3 | DEF:53
Eula,90,19602,2459,800,0,115.5,71.1,204.2,N/A,0.0,185.8,Shimenawa's Reminiscence,HP,4780,41.2,ATK:16 | Crit Rate:17.9 | Crit DMG:5.4 | ATK%:8.7,Shimenawa's Reminiscence,ATK,311,36.6,Crit DMG:14.8 | Crit Rate:10.9 | ER%:5.8 | ATK%:9.9,Shimenawa's Reminiscence,ATK%,46.6,46.6,Crit Rate:9.3 | Crit DMG:28 | HP:209 | ER%:5.2,Pale Flame,Physical DMG%,58.3,41.2,ER%:4.5 | Crit Rate:17.9 | HP%:5.8 | Crit DMG:5.4,Shimenawa's Reminiscence,Crit DMG,62.2,20.2,HP%:4.7 | ATK%:15.7 | Crit Rate:10.1 | DEF%:6.6
Zhongli,90,18503,1007,856,23,100.0,47.4,160.5,Geo,75.4,66.9,,,,,,,,,,,,,,,,Brave Heart,Geo DMG%,46.6,42.8,DEF%:7.3 | Crit Rate:11.3 | Crit DMG:20.2 | HP%:4.1,Pale Flame,Crit Rate,31.1,24.1,HP:269 | EM:23 | Crit DMG:24.1 | DEF:65
Arlecchino,90,18733,2251,922,147,100.0,88.5,191.7,Pyro,46.6,163.9,Gladiator's Finale,HP,4780,35.8,DEF:23 | EM:68 | Crit DMG:21 | Crit Rate:7.4,Gladiator's Finale,ATK,311,35.7,DEF%:12.4 | Crit Rate:6.6 | ATK%:5.8 | Crit DMG:22.5,Gladiator's Finale,ATK%,46.6,40.4,EM:42 | Crit Rate:10.5 | Crit DMG:19.4 | HP%:4.7,Thundersoother,Pyro DMG%,46.6,27.1,Crit Rate:5.8 | DEF:39 | ATK%:15.7 | Crit DMG:15.5,Gladiator's Finale,Crit Rate,31.1,24.9,EM:37 | Crit DMG:24.9 | HP:239 | ATK%:4.7
Fischl,90,14452,1977,638,139,173.3,74.6,145.6,Electro,46.6,172.6,Brave Heart,HP,4780,36.6,EM:42 | Crit Rate:7.4 | Crit DMG:21.8 | ATK%:5.8,Brave Heart,ATK,311,38.8,Crit Rate:13.2 | Crit DMG:12.4 | ATK%:4.7 | HP%:5.3,Brave Heart,ATK%,46.6,42,ATK:33 | DEF:23 | Crit DMG:28 | Crit Rate:7,Thundering Fury,Electro DMG%,46.6,35.0,Crit Rate:10.9 | ATK%:10.5 | Crit DMG:13.2 | ER%:5.8,Brave Heart,Crit Rate,31.1,20.2,EM:37 | ER%:12.3 | Crit DMG:20.2 | DEF:21
Raiden Shogun,90,21220,1581,822,23,240.6,39.4,214.0,Electro,102.8,154.6,Emblem of Severed Fate,HP,4780,41.2,ATK:35 | Crit Rate:10.5 | HP%:4.1 | Crit DMG:20.2,Emblem of Severed Fate,ATK,311,32.6,DEF:32 | EM:23 | Crit DMG:26.4 | Crit Rate:3.1,Noblesse Oblige,ER%,51.8,33.4,HP%:9.3 | Crit DMG:28 | ATK%:11.1 | Crit Rate:2.7,Emblem of Severed Fate,Electro DMG%,46.6,27.2,ATK%:4.1 | ATK:37 | Crit DMG:27.2 | HP:299,Noblesse Oblige,Crit DMG,62.2,20.2,Crit Rate:10.1 | ATK:33 | HP:299 | HP%:9.3
Furina,90,38136,1062,822,0,178.7,65.4,216.3,N/A,0.0,186.5,Golden Troupe,HP,4780,41.9,ATK:14 | Crit Rate:6.2 | ER%:11.7 | Crit DMG:29.5,Golden Troupe,ATK,311,46.6,Crit Rate:6.6 | HP%:5.8 | Crit DMG:33.4 | HP:299,Maiden Beloved,HP%,46.6,49.0,Crit Rate:10.5 | ATK:19 | Crit DMG:28 | ER%:5.8,Golden Troupe,HP%,46.6,28.8,DEF%:11.7 | Crit DMG:13.2 | Crit Rate:7.8 | HP:538,Golden Troupe,Crit DMG,62.2,20.2,ATK:19 | HP%:13.4 | DEF%:6.6 | Crit Rate:10.1
