Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Keqing,100,18814,2209,856,114,105.8,55.9,288.7,Pyro,48.0,195.9,5
Columbina,100,46279,970,621,80,134.3,54.9,285.1,N/A,0.0,146.1,5
Ineffa,90,17393,2285,911,182,125.2,92.2,230.4,N/A,0.0,188.0,5
Durin,95,18849,3105,905,40,100.0,83.6,181.6,N/A,0.0,184.20000000000002,1
Clorinde,90,20335,2107,852,19,111.0,70.5,277.7,Electro,61.6,189.0,2
Furina,90,25296,1050,914,0,222.8,89.9,152.6,Hydro,46.6,171.99999999999997,5
Yelan,90,27113,1133,632,21,215.8,91.8,191.0,Hydro,46.6,125.9,1
Noelle,50,11479,993,1022,159,100.0,57.9,282.0,Geo,46.6,187.20000000000002,1
Arlecchino,95,19946,2737,857,0,122.7,92.0,211.2,N/A,0.0,190.39999999999998,4
Wanderer,95,16434,1987,728,40,106.5,81.0,216.1,Anemo,61.6,173.10000000000002,5
Baizhu,90,51350,1158,617,84,129.1,18.2,60.9,N/A,0.0,37.3,5
Skirk,95,19151,2258,908,19,100.0,83.8,204.9,Cryo,61.6,167.8,1
