Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Keqing,100,18814,2209,856,114,105.8,55.9,288.7,Pyro,48.0,195.9,Thundering Fury,HP,4780,44.3,Crit DMG:30.3 | Crit Rate:7 | EM:21 | ATK%:4.7,Thundering Fury,ATK,311,38.1,Crit Rate:9.7 | ATK%:4.7 | EM:35 | Crit DMG:18.7,Thundering Fury,ATK%,46.6,46.6,ER%:5.8 | Crit Rate:9.7 | EM:16 | Crit DMG:27.2,Thundering Fury,Electro DMG%,46.6,41.3,EM:21 | Crit Rate:11.7 | ATK%:9.3 | Crit DMG:17.9,Night of the Sky's Unveiling,Crit DMG,62.2,25.6,EM:21 | Crit Rate:12.8 | ATK%:10.5 | ATK:18
Columbina,100,46279,970,621,80,134.3,54.9,285.1,N/A,0.0,146.1,Silken Moon's Serenade,HP,4780,37.3,ER%:6.5 | HP%:15.2 | Crit Rate:3.9 | Crit DMG:29.5,Night of the Sky's Unveiling,ATK,311,35.8,Crit Rate:3.5 | Crit DMG:28.8 | HP%:9.9 | ER%:12.3,Night of the Sky's Unveiling,HP%,46.6,30.2,Crit Rate:5.4 | Crit DMG:19.4 | ER%:15.5 | HP:209,Night of the Sky's Unveiling,HP%,46.6,35.8,Crit Rate:14.4 | Crit DMG:7 | DEF%:5.1 | HP:807,Night of the Sky's Unveiling,Crit DMG,62.2,7.0,HP%:19.2 | Crit Rate:3.5 | HP:269 | DEF:42
Ineffa,90,17393,2285,911,182,125.2,92.2,230.4,N/A,0.0,188.0,Silken Moon's Serenade,HP,4780,42.0,EM:16 | Crit Rate:10.9 | Crit DMG:20.2 | ATK%:5.8,Silken Moon's Serenade,ATK,311,38.8,Crit DMG:19.4 | Crit Rate:9.7 | EM:42 | DEF%:7.3,Silken Moon's Serenade,ATK%,46.6,45.0,Crit Rate:8.9 | Crit DMG:27.2 | EM:23 | ER%:5.2,Thundering Fury,ATK%,46.6,36.6,Crit DMG:21.8 | Crit Rate:7.4 | ATK:14 | EM:68,Silken Moon's Serenade,Crit Rate,31.1,25.6,Crit DMG:25.6 | DEF:23 | EM:33 | ATK%:9.9
Durin,95,18849,3105,905,40,100.0,83.6,181.6,N/A,0.0,184.20000000000002,Set_15044,HP,4780,32.6,Crit Rate:6.2 | Crit DMG:20.2 | DEF:16 | ATK%:9.9,Set_15044,ATK,311,29.6,HP:209 | Crit DMG:6.2 | ATK%:9.9 | Crit Rate:11.7,Set_15044,ATK%,46.6,40.4,EM:19 | DEF:37 | Crit DMG:7 | Crit Rate:16.7,Set_15044,ATK%,46.6,34.2,ATK:35 | Crit Rate:3.9 | HP%:5.8 | Crit DMG:26.4,Silken Moon's Serenade,ATK%,46.6,47.4,Crit Rate:7 | HP:239 | Crit DMG:33.4 | EM:21
Clorinde,90,20335,2107,852,19,111.0,70.5,277.7,Electro,61.6,189.0,Thundering Fury,HP,4780,35.8,Crit DMG:21.8 | Crit Rate:7 | ER%:5.8 | ATK%:15.8,Gladiator's Finale,ATK,311,43.6,ER%:5.2 | Crit DMG:21 | Crit Rate:11.3 | DEF%:6.6,Thundering Fury,ATK%,46.6,45.1,Crit DMG:23.3 | HP:299 | HP%:9.9 | Crit Rate:10.9,Thundering Fury,Electro DMG%,46.6,30.3,ATK%:11.1 | DEF:16 | HP:478 | Crit DMG:30.3,Thundering Fury,Crit DMG,62.2,34.2,ATK%:4.1 | HP:538 | Crit Rate:17.1 | EM:19
Furina,90,25296,1050,914,0,222.8,89.9,152.6,Hydro,46.6,171.99999999999997,Golden Troupe,HP,4780,30.4,ER%:9.7 | Crit DMG:13.2 | Crit Rate:8.6 | HP%:4.1,Golden Troupe,ATK,311,41.2,DEF%:12.4 | Crit Rate:10.5 | HP%:4.7 | Crit DMG:20.2,Golden Troupe,ER%,51.8,46.0,HP:299 | Crit DMG:14.8 | Crit Rate:15.6 | DEF%:5.8,Unfinished Reverie,Hydro DMG%,46.6,27.2,ATK%:5.8 | Crit DMG:27.2 | HP%:15.7 | HP:269,Golden Troupe,Crit Rate,31.1,27.2,HP%:4.1 | DEF%:13.1 | Crit DMG:27.2 | HP:269
Yelan,90,27113,1133,632,21,215.8,91.8,191.0,Hydro,46.6,125.9,Emblem of Severed Fate,HP,4780,24.1,HP%:8.7 | Crit DMG:17.1 | ER%:16.8 | Crit Rate:3.5,Emblem of Severed Fate,ATK,311,18.6,DEF:21 | ER%:17.5 | EM:21 | Crit Rate:9.3,Emblem of Severed Fate,ER%,51.8,22.6,HP%:14.6 | DEF:23 | Crit Rate:11.3 | HP:209,Emblem of Severed Fate,Hydro DMG%,46.6,31.8,Crit Rate:12.4 | ATK%:4.7 | Crit DMG:7 | HP:478,Thundersoother,Crit Rate,31.1,28.8,HP%:10.5 | ER%:9.7 | Crit DMG:28.8 | DEF%:7.3
Noelle,50,11479,993,1022,159,100.0,57.9,282.0,Geo,46.6,187.20000000000002,Night of the Sky's Unveiling,HP,4780,43.4,DEF%:6.6 | Crit DMG:25.6 | EM:19 | Crit Rate:8.9,Night of the Sky's Unveiling,ATK,311,46.7,DEF%:5.1 | Crit Rate:14 | DEF:16 | Crit DMG:18.7,Night of the Sky's Unveiling,DEF%,58.3,34.9,Crit DMG:22.5 | DEF:23 | EM:44 | Crit Rate:6.2,Brave Heart,Geo DMG%,46.6,35.8,DEF:23 | Crit DMG:14.8 | Crit Rate:10.5 | DEF%:21.1,Night of the Sky's Unveiling,Crit DMG,62.2,26.4,Crit Rate:13.2 | EM:16 | HP:299 | ATK:39
Arlecchino,95,19946,2737,857,0,122.7,92.0,211.2,N/A,0.0,190.39999999999998,Fragment of Harmonic Whimsy,HP,4780,42.0,Crit Rate:14 | ATK%:5.8 | Crit DMG:14 | DEF:19,Fragment of Harmonic Whimsy,ATK,311,42.8,Crit DMG:19.4 | Crit Rate:11.7 | ATK%:11.1 | ER%:6.5,Thundering Fury,ATK%,46.6,38.8,HP:239 | Crit DMG:7 | Crit Rate:15.9 | ER%:9.7,Fragment of Harmonic Whimsy,ATK%,46.6,38.8,Crit Rate:9.3 | ER%:6.5 | Crit DMG:20.2 | ATK:19,Fragment of Harmonic Whimsy,Crit DMG,62.2,28.0,HP%:5.8 | HP:568 | DEF%:5.8 | Crit Rate:14
Wanderer,95,16434,1987,728,40,106.5,81.0,216.1,Anemo,61.6,173.10000000000002,Desert Pavilion Chronicle,HP,4780,39.6,Crit Rate:6.6 | Crit DMG:26.4 | ATK%:4.1 | ATK:18,Desert Pavilion Chronicle,ATK,311,32.6,Crit Rate:10.1 | Crit DMG:12.4 | DEF:39 | DEF%:5.8,Desert Pavilion Chronicle,ATK%,46.6,37.2,Crit Rate:8.9 | HP:209 | Crit DMG:19.4 | HP%:4.1,Desert Pavilion Chronicle,Anemo DMG%,46.6,28.0,Crit DMG:28 | HP%:4.7 | EM:40 | ATK%:5.3,Brave Heart,Crit Rate,31.1,35.7,Crit DMG:35.7 | DEF:23 | ATK:39 | ER%:6.5
