Character,Slot,Set,Level,Main_Stat,Main_Value,Sub1,Sub1_Val,Sub2,Sub2_Val,Sub3,Sub3_Val,Sub4,Sub4_Val,Crit_Value
Keqing,Flower,Thundering Fury,+20,HP,4780.0,DEF%,5.1,ATK%,9.3,Crit Rate,14.0,Crit DMG,13.2,41.2
Keqing,Plume,Thundering Fury,+20,ATK,311.0,Crit Rate,14.4,ER%,5.2,HP,299.0,Crit DMG,22.5,51.3
Keqing,Sands,Fragment of Harmonic Whimsy,+20,ATK%,46.6,HP,299.0,Crit Rate,17.9,Crit DMG,13.2,ER%,6.5,49.0
Keqing,Goblet,Fragment of Harmonic Whimsy,+20,Electro DMG%,46.6,Crit Rate,10.9,Crit DMG,28.0,ER%,5.8,DEF,21.0,49.8
Keqing,Circlet,Unfinished Reverie,+20,Crit DMG,62.2,ATK%,11.1,EM,19.0,DEF,16.0,Crit Rate,16.3,32.6
Wanderer,Flower,Desert Pavilion Chronicle,+20,HP,4780.0,DEF,19.0,Crit Rate,6.6,ATK%,9.3,Crit DMG,20.2,33.4
Wanderer,Plume,Desert Pavilion Chronicle,+20,ATK,311.0,ER%,9.7,Crit DMG,7.0,ATK%,10.5,Crit Rate,12.8,32.6
Wanderer,Sands,Desert Pavilion Chronicle,+20,ATK%,46.6,DEF,21.0,ER%,6.5,Crit Rate,12.1,Crit DMG,14.8,39.0
Wanderer,Goblet,Thundering Fury,+20,Anemo DMG%,46.6,Crit DMG,20.2,Crit Rate,5.8,DEF%,13.9,ATK%,10.5,31.8
Wanderer,Circlet,Desert Pavilion Chronicle,+20,Crit DMG,62.2,Crit Rate,11.7,HP%,5.8,EM,23.0,HP,508.0,23.4
Nahida,Flower,Set_15026,+20,HP,4780.0,ATK%,4.7,Crit Rate,14.4,Crit DMG,11.7,DEF%,7.3,40.5
Nahida,Plume,Set_15026,+20,ATK,311.0,EM,42.0,HP,299.0,Crit DMG,17.9,Crit Rate,10.5,38.9
Nahida,Sands,Set_15026,+20,EM,187.0,HP%,9.9,HP,269.0,Crit DMG,16.3,Crit Rate,7.4,31.1
Nahida,Goblet,Unfinished Reverie,+20,EM,187.0,ATK%,4.7,Crit DMG,12.4,Crit Rate,7.4,HP,717.0,27.2
Nahida,Circlet,Set_15026,+20,Crit DMG,62.2,ATK%,14.6,ATK,16.0,Crit Rate,7.0,HP%,8.7,14.0
Kaedehara Kazuha,Flower,Viridescent Venerer,+20,HP,4780.0,HP%,5.3,ER%,6.5,EM,82.0,Crit DMG,11.7,11.7
Kaedehara Kazuha,Plume,Viridescent Venerer,+20,ATK,311.0,EM,61.0,HP,478.0,ER%,18.8,HP%,5.8,0.0
Kaedehara Kazuha,Sands,Viridescent Venerer,+20,EM,187.0,Crit DMG,15.5,DEF,16.0,HP%,11.1,ER%,16.8,15.5
Kaedehara Kazuha,Goblet,Viridescent Venerer,+20,EM,187.0,HP,209.0,ER%,16.2,Crit Rate,5.8,DEF,39.0,11.6
Kaedehara Kazuha,Circlet,Deepwood Memories,+20,EM,187.0,ER%,9.7,HP,478.0,Crit DMG,22.5,DEF%,7.3,22.5
Furina,Flower,Tenacity of the Millelith,+20,HP,4780.0,HP%,5.8,Crit DMG,7.8,Crit Rate,17.9,ATK,14.0,43.6
Furina,Plume,Golden Troupe,+20,ATK,311.0,HP%,4.7,Crit DMG,23.3,Crit Rate,9.3,DEF,16.0,41.9
Furina,Sands,Golden Troupe,+20,HP%,46.6,DEF,23.0,Crit Rate,6.2,ATK,33.0,Crit DMG,20.2,32.6
Furina,Goblet,Golden Troupe,+20,HP%,46.6,Crit DMG,14.0,ATK,18.0,Crit Rate,13.2,DEF,39.0,40.4
Furina,Circlet,Golden Troupe,+20,Crit DMG,62.2,HP%,14.6,HP,239.0,Crit Rate,10.1,DEF,23.0,20.2
