Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Keqing,95,18946,2223,907,19,117.5,78.5,271.6,Pyro,12.0,223.9,1
Wanderer,90,16045,2084,731,23,116.2,73.2,218.5,Anemo,61.6,160.20000000000002,1
Nahida,90,18357,1026,676,610,129.8,51.7,170.5,N/A,0.0,151.7,5
Kaedehara Kazuha,90,22251,1216,921,1015,168.0,10.8,99.7,Anemo,15.0,61.3,1
Furina,90,38429,1074,797,0,161.3,81.0,177.5,N/A,0.0,178.7,5
Raiden Shogun,90,20676,2603,860,82,258.9,59.0,130.0,Electro,63.6,126.0,1
Columbina,90,33002,996,582,157,169.3,88.9,181.4,N/A,0.0,124.99999999999999,5
Wriothesley,90,20037,2350,782,58,100.0,57.4,265.6,Cryo,46.6,175.7,1
Arlecchino,90,20556,1873,930,0,100.0,69.1,187.1,Pyro,46.6,120.60000000000002,1
Yelan,90,31992,1196,735,81,175.1,72.8,172.0,Hydro,46.6,156.79999999999998,1
Escoffier,90,20545,1826,843,40,156.3,85.5,202.4,N/A,0.0,139.2,5
Skirk,90,18697,2121,806,23,117.5,84.2,207.3,Cryo,61.6,171.0,1
