Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Keqing,95,18946,2223,907,19,117.5,78.5,271.6,Pyro,12.0,223.9,Thundering Fury,HP,4780,41.2,DEF%:5.1 | ATK%:9.3 | Crit Rate:14 | Crit DMG:13.2,Thundering Fury,ATK,311,51.3,Crit Rate:14.4 | ER%:5.2 | HP:299 | Crit DMG:22.5,Fragment of Harmonic Whimsy,ATK%,46.6,49.0,HP:299 | Crit Rate:17.9 | Crit DMG:13.2 | ER%:6.5,Fragment of Harmonic Whimsy,Electro DMG%,46.6,49.8,Crit Rate:10.9 | Crit DMG:28 | ER%:5.8 | DEF:21,Unfinished Reverie,Crit DMG,62.2,32.6,ATK%:11.1 | EM:19 | DEF:16 | Crit Rate:16.3
Wanderer,90,16045,2084,731,23,116.2,73.2,218.5,Anemo,61.6,160.20000000000002,Desert Pavilion Chronicle,HP,4780,33.4,DEF:19 | Crit Rate:6.6 | ATK%:9.3 | Crit DMG:20.2,Desert Pavilion Chronicle,ATK,311,32.6,ER%:9.7 | Crit DMG:7 | ATK%:10.5 | Crit Rate:12.8,Desert Pavilion Chronicle,ATK%,46.6,39.0,DEF:21 | ER%:6.5 | Crit Rate:12.1 | Crit DMG:14.8,Thundering Fury,Anemo DMG%,46.6,31.8,Crit DMG:20.2 | Crit Rate:5.8 | DEF%:13.9 | ATK%:10.5,Desert Pavilion Chronicle,Crit DMG,62.2,23.4,Crit Rate:11.7 | HP%:5.8 | EM:23 | HP:508
Nahida,90,18357,1026,676,610,129.8,51.7,170.5,N/A,0.0,151.7,Set_15026,HP,4780,40.5,ATK%:4.7 | Crit Rate:14.4 | Crit DMG:11.7 | DEF%:7.3,Set_15026,ATK,311,38.9,EM:42 | HP:299 | Crit DMG:17.9 | Crit Rate:10.5,Set_15026,EM,187,31.1,HP%:9.9 | HP:269 | Crit DMG:16.3 | Crit Rate:7.4,Unfinished Reverie,EM,187.0,27.2,ATK%:4.7 | Crit DMG:12.4 | Crit Rate:7.4 | HP:717,Set_15026,Crit DMG,62.2,14.0,ATK%:14.6 | ATK:16 | Crit Rate:7 | HP%:8.7
Kaedehara Kazuha,90,22251,1216,921,1015,168.0,10.8,99.7,Anemo,15.0,61.3,Viridescent Venerer,HP,4780,11.7,HP%:5.3 | ER%:6.5 | EM:82 | Crit DMG:11.7,Viridescent Venerer,ATK,311,0.0,EM:61 | HP:478 | ER%:18.8 | HP%:5.8,Viridescent Venerer,EM,187,15.5,Crit DMG:15.5 | DEF:16 | HP%:11.1 | ER%:16.8,Viridescent Venerer,EM,187.0,11.6,HP:209 | ER%:16.2 | Crit Rate:5.8 | DEF:39,Deepwood Memories,EM,187.0,22.5,ER%:9.7 | HP:478 | Crit DMG:22.5 | DEF%:7.3
Furina,90,38429,1074,797,0,161.3,81.0,177.5,N/A,0.0,178.7,Tenacity of the Millelith,HP,4780,43.6,HP%:5.8 | Crit DMG:7.8 | Crit Rate:17.9 | ATK:14,Golden Troupe,ATK,311,41.9,HP%:4.7 | Crit DMG:23.3 | Crit Rate:9.3 | DEF:16,Golden Troupe,HP%,46.6,32.6,DEF:23 | Crit Rate:6.2 | ATK:33 | Crit DMG:20.2,Golden Troupe,HP%,46.6,40.4,Crit DMG:14 | ATK:18 | Crit Rate:13.2 | DEF:39,Golden Troupe,Crit DMG,62.2,20.2,HP%:14.6 | HP:239 | Crit Rate:10.1 | DEF:23
Raiden Shogun,90,20676,2603,860,82,258.9,59.0,130.0,Electro,63.6,126.0,Emblem of Severed Fate,HP,4780,35.8,Crit Rate:11.7 | EM:21 | Crit DMG:12.4 | ATK%:11.1,Emblem of Severed Fate,ATK,311,21.0,EM:21 | ATK%:16.3 | Crit DMG:21 | DEF:19,Emblem of Severed Fate,ER%,51.8,14,ATK%:9.9 | Crit DMG:14 | HP%:15.8 | EM:40,Gladiator's Finale,ATK%,46.6,42.8,DEF%:6.6 | HP:448 | Crit Rate:11.3 | Crit DMG:20.2,Emblem of Severed Fate,Crit Rate,31.1,12.4,ATK%:10.5 | Crit DMG:12.4 | HP:508 | ATK:33
Columbina,90,33002,996,582,157,169.3,88.9,181.4,N/A,0.0,124.99999999999999,Set_15043,HP,4780,41.2,HP%:10.5 | ATK%:4.1 | Crit Rate:6.6 | Crit DMG:28,Set_15043,ATK,311,33.4,HP%:4.7 | ER%:11.7 | Crit Rate:10.1 | Crit DMG:13.2,Set_15043,ER%,51.8,14.0,HP%:10.5 | Crit DMG:7.8 | EM:77 | Crit Rate:3.1,Set_15043,HP%,46.6,25.6,DEF%:13.1 | Crit Rate:2.7 | ATK%:14.6 | Crit DMG:20.2,Long Night's Oath,Crit DMG,62.2,10.8,ATK%:5.8 | ER%:5.8 | HP%:19.8 | Crit Rate:5.4
Wriothesley,90,20037,2350,782,58,100.0,57.4,265.6,Cryo,46.6,175.7,Marechaussee Hunter,HP,4780,37.3,Crit Rate:3.1 | Crit DMG:31.1 | ATK%:9.3 | EM:21,Marechaussee Hunter,ATK,311,34.2,Crit DMG:27.2 | DEF:19 | ATK%:15.2 | Crit Rate:3.5,Marechaussee Hunter,ATK%,46.6,43.6,Crit Rate:7.4 | ATK:19 | Crit DMG:28.8 | HP%:4.1,Thundering Fury,Cryo DMG%,46.6,42.8,Crit DMG:28 | HP%:8.2 | ATK:16 | Crit Rate:7.4,Marechaussee Hunter,Crit DMG,62.2,17.8,EM:37 | ATK:18 | ATK%:14.6 | Crit Rate:8.9
Arlecchino,90,20556,1873,930,0,100.0,69.1,187.1,Pyro,46.6,120.60000000000002,Fragment of Harmonic Whimsy,HP,4780,36.6,DEF:21 | ATK%:9.9 | Crit DMG:7 | Crit Rate:14.8,Fragment of Harmonic Whimsy,ATK,311,34.2,Crit Rate:13.2 | DEF%:7.3 | Crit DMG:7.8 | ATK%:9.3,,,,,,Thundering Fury,Pyro DMG%,46.6,37.4,HP%:15.7 | Crit Rate:7.8 | Crit DMG:21.8 | ATK:19,Fragment of Harmonic Whimsy,Crit DMG,62.2,12.4,DEF%:11.7 | Crit Rate:6.2 | ATK%:14.6 | HP%:4.7
Yelan,90,31992,1196,735,81,175.1,72.8,172.0,Hydro,46.6,156.79999999999998,Emblem of Severed Fate,HP,4780,38.0,Crit DMG:12.4 | DEF:39 | Crit Rate:12.8 | HP%:4.1,Emblem of Severed Fate,ATK,311,32.6,HP%:9.9 | Crit DMG:21 | Crit Rate:5.8 | EM:21,Emblem of Severed Fate,HP%,46.6,31.8,Crit Rate:6.2 | ATK:33 | DEF%:7.3 | Crit DMG:19.4,Long Night's Oath,Hydro DMG%,46.6,28.0,HP%:15.2 | DEF%:6.6 | Crit DMG:7 | Crit Rate:10.5,Emblem of Severed Fate,Crit DMG,62.2,26.4,HP:299 | HP%:10.5 | Crit Rate:13.2 | DEF%:13.1
