Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Furina,100,36410,1152,766,0,117.5,96.5,255.5,Hydro,46.6,199.79999999999995,5
Keqing,90,18092,2629,853,100,111.7,43.1,270.1,Pyro,24.0,151.6,1
Chiori,90,16696,1314,2272,42,119.4,78.6,268.0,Geo,46.6,176.6,1
Columbina,100,43390,1008,649,131,104.5,67.0,252.5,N/A,0.0,137.39999999999998,2
Wanderer,90,16249,2130,643,44,100.0,81.0,221.6,Anemo,61.6,178.6,1
Nahida,90,19503,1180,630,423,136.3,67.6,135.5,Dendro,61.6,148.3,5
Qiqi,60,13505,2041,679,0,121.4,60.6,130.0,N/A,0.0,129.0,1
Zhongli,90,57253,1006,789,0,112.3,35.3,119.9,Geo,28.8,130.5,5
Yelan,90,34681,1097,571,23,156.4,91.1,233.8,Hydro,61.6,167.0,1
Jean,80,18283,1943,722,61,252.4,24.4,110.6,N/A,0.0,99.39999999999999,5
Xilonen,90,18963,1265,3488,188,121.6,17.6,62.6,N/A,0.0,37.800000000000004,1
Mavuika,90,17810,2172,792,182,125.9,57.0,231.4,Pyro,46.6,140.70000000000002,1
