Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Furina,100,36410,1152,766,0,117.5,96.5,255.5,Hydro,46.6,199.79999999999995,Golden Troupe,HP,4780,40.4,HP%:11.1 | Crit DMG:34.2 | Crit Rate:3.1 | ER%:5.2,Golden Troupe,ATK,311,44.3,HP%:5.8 | Crit Rate:9.3 | Crit DMG:25.7 | HP:299,Set_15026,HP%,46.6,52.2,HP:209 | DEF:21 | Crit DMG:7.8 | Crit Rate:22.2,Golden Troupe,Hydro DMG%,46.6,35.7,Crit Rate:6.6 | Crit DMG:22.5 | HP%:10.5 | ER%:5.8,Golden Troupe,Crit Rate,31.1,27.2,HP%:14 | Crit DMG:27.2 | HP:299 | ER%:6.5
Keqing,90,18092,2629,853,100,111.7,43.1,270.1,Pyro,24.0,151.6,Marechaussee Hunter,HP,4780,39.6,EM:40 | Crit DMG:13.2 | Crit Rate:13.2 | ATK:14,Marechaussee Hunter,ATK,311,35.8,EM:21 | ATK%:11.1 | Crit DMG:21 | Crit Rate:7.4,Marechaussee Hunter,ATK%,46.6,35.0,Crit Rate:3.1 | Crit DMG:28.8 | DEF:37 | EM:40,Marechaussee Hunter,ATK%,46.6,35.0,HP:209 | Crit DMG:12.4 | Crit Rate:11.3 | ER%:11.7,Blizzard Strayer,Crit DMG,62.2,6.2,Crit Rate:3.1 | ATK%:21.6 | DEF:16 | ATK:53
Chiori,90,16696,1314,2272,42,119.4,78.6,268.0,Geo,46.6,176.6,Wanderer's Troupe,HP,4780,38.2,DEF%:11.7 | EM:23 | Crit DMG:21 | Crit Rate:8.6,Wanderer's Troupe,ATK,311,35.8,DEF%:13.9 | Crit Rate:7.4 | DEF:44 | Crit DMG:21,Marechaussee Hunter,DEF%,58.3,35.8,ATK%:11.7 | Crit Rate:15.2 | HP:209 | Crit DMG:5.4,Wanderer's Troupe,Geo DMG%,46.6,48.2,Crit DMG:20.2 | EM:19 | Crit Rate:14 | ATK:18,Wanderer's Troupe,Crit DMG,62.2,18.6,ATK:19 | HP:269 | Crit Rate:9.3 | ER%:19.4
Columbina,100,43390,1008,649,131,104.5,67.0,252.5,N/A,0.0,137.39999999999998,Set_15043,HP,4780,30.2,Crit DMG:19.4 | Crit Rate:5.4 | HP%:10.5 | ER%:4.5,Set_15043,ATK,311,17.0,HP%:19.8 | Crit DMG:6.2 | Crit Rate:5.4 | DEF:23,Set_15043,HP%,46.6,26.4,Crit Rate:6.6 | Crit DMG:13.2 | HP:807 | DEF:37,Golden Troupe,HP%,46.6,39.6,Crit DMG:13.2 | ATK%:5.8 | Crit Rate:13.2 | EM:16,Set_15043,Crit DMG,62.2,24.2,HP%:4.7 | Crit Rate:12.1 | DEF:37 | EM:35
Wanderer,90,16249,2130,643,44,100.0,81.0,221.6,Anemo,61.6,178.6,Desert Pavilion Chronicle,HP,4780,40.4,ATK:14 | Crit Rate:16.7 | ATK%:8.7 | Crit DMG:7,Desert Pavilion Chronicle,ATK,311,37.2,Crit DMG:5.4 | ATK%:9.9 | Crit Rate:15.9 | EM:21,Emblem of Severed Fate,ATK%,46.6,42.0,DEF%:5.8 | Crit DMG:26.4 | Crit Rate:7.8 | ATK:37,Desert Pavilion Chronicle,Anemo DMG%,46.6,32.6,HP%:10.5 | Crit DMG:26.4 | ATK:14 | Crit Rate:3.1,Desert Pavilion Chronicle,Crit DMG,62.2,26.4,HP:239 | Crit Rate:13.2 | EM:23 | ATK%:9.9
Nahida,90,19503,1180,630,423,136.3,67.6,135.5,Dendro,61.6,148.3,Deepwood Memories,HP,4780,33.4,ATK%:16.9 | Crit DMG:14.8 | EM:21 | Crit Rate:9.3,Deepwood Memories,ATK,311,26.4,HP:239 | Crit Rate:6.2 | Crit DMG:14 | EM:77,Gladiator's Finale,EM,187.0,37.2,HP:269 | Crit DMG:5.4 | Crit Rate:15.9 | ER%:5.8,Deepwood Memories,Dendro DMG%,46.6,29.5,HP:209 | Crit DMG:29.5 | EM:23 | ER%:11,Deepwood Memories,Crit Rate,31.1,21.8,ATK%:5.3 | Crit DMG:21.8 | ER%:19.4 | ATK:14
Qiqi,60,13505,2041,679,0,121.4,60.6,130.0,N/A,0.0,129.0,Marechaussee Hunter,HP,4780,35.8,Crit DMG:13.2 | ER%:4.5 | Crit Rate:11.3 | DEF:19,Marechaussee Hunter,ATK,311,20.2,ATK%:20.4 | Crit DMG:7.8 | Crit Rate:6.2 | HP%:4.1,Tenacity of the Millelith,ATK%,46.6,36.5,Crit DMG:22.5 | HP%:4.7 | ATK:35 | Crit Rate:7,Marechaussee Hunter,Physical DMG%,58.3,15.5,ER%:11.7 | Crit DMG:15.5 | ATK:39 | DEF:39,Marechaussee Hunter,Crit Rate,31.1,21.0,ER%:5.2 | DEF:23 | ATK:47 | Crit DMG:21
Zhongli,90,57253,1006,789,0,112.3,35.3,119.9,Geo,28.8,130.5,Pale Flame,HP,4780,27.2,Crit DMG:20.2 | Crit Rate:3.5 | ATK%:5.3 | HP%:16.3,Pale Flame,ATK,311,7.0,HP%:24.5 | ATK%:4.1 | Crit Rate:3.5 | DEF:19,Pale Flame,HP%,46.6,33.4,Crit Rate:6.2 | Crit DMG:21 | ATK:33 | HP:209,Pale Flame,HP%,46.6,30.3,HP:657 | DEF:32 | Crit Rate:3.9 | Crit DMG:22.5,Marechaussee Hunter,HP%,46.6,32.6,Crit Rate:13.2 | HP:538 | ER%:12.3 | Crit DMG:6.2
Yelan,90,34681,1097,571,23,156.4,91.1,233.8,Hydro,61.6,167.0,Vourukasha's Glow,HP,4780,45.8,Crit Rate:9.7 | HP%:5.8 | Crit DMG:26.4 | DEF:23,Tenacity of the Millelith,ATK,311,46.7,Crit DMG:18.7 | ER%:4.5 | Crit Rate:14 | HP:299,Tenacity of the Millelith,HP%,46.6,24.0,Crit DMG:6.2 | ER%:21.4 | EM:23 | Crit Rate:8.9,Vourukasha's Glow,Hydro DMG%,46.6,31.1,Crit DMG:24.9 | ER%:11 | Crit Rate:3.1 | HP%:8.7,Golden Troupe,Crit Rate,31.1,19.4,ER%:19.4 | HP:269 | HP%:5.8 | Crit DMG:19.4
Jean,80,18283,1943,722,61,252.4,24.4,110.6,N/A,0.0,99.39999999999999,Heart of Depth,HP,4780,5.4,Crit DMG:5.4 | ER%:13 | ATK%:15.7 | DEF:44,Gladiator's Finale,ATK,311,26.4,Crit DMG:6.2 | ER%:5.2 | Crit Rate:10.1 | ATK%:20.4,Set_15026,ER%,51.8,25.6,Crit Rate:6.2 | Crit DMG:13.2 | ATK%:10.5 | ATK:35,Thundersoother,ATK%,46.6,27.2,Crit Rate:3.1 | HP:538 | Crit DMG:21 | ER%:16.2,Gladiator's Finale,ATK%,46.6,14.8,Crit DMG:14.8 | ATK:19 | ER%:10.4 | EM:61
