Character,Slot,Set,Level,Main_Stat,Main_Value,Sub1,Sub1_Val,Sub2,Sub2_Val,Sub3,Sub3_Val,Sub4,Sub4_Val,Crit_Value
Keqing,Flower,Brave Heart,+20,HP,4780.0,ATK%,11.1,Crit DMG,26.4,EM,16.0,Crit Rate,7.0,40.4
Keqing,Plume,Brave Heart,+20,ATK,311.0,ATK%,4.7,Crit Rate,11.7,DEF,19.0,Crit DMG,27.2,50.6
Keqing,Sands,Brave Heart,+20,ATK%,46.6,Crit DMG,6.2,Crit Rate,17.9,HP,239.0,EM,37.0,42.0
Keqing,Goblet,Brave Heart,+20,Electro DMG%,46.6,Crit Rate,11.3,Crit DMG,21.8,ATK,19.0,ATK%,9.9,44.4
Keqing,Circlet,Thundering Fury,+20,Crit Rate,31.1,HP%,4.7,ATK,14.0,ATK%,21.0,Crit DMG,22.5,22.5
Nahida,Flower,Deepwood Memories,+20,HP,4780.0,EM,19.0,ATK%,16.3,Crit DMG,22.5,ER%,10.4,22.5
Nahida,Plume,Deepwood Memories,+20,ATK,311.0,EM,35.0,ATK%,10.5,Crit Rate,10.5,ER%,13.0,21.0
Nahida,Sands,Deepwood Memories,+20,EM,187.0,ATK%,15.2,Crit Rate,7.8,ATK,31.0,ER%,5.8,15.6
Nahida,Goblet,Pale Flame,+20,EM,187.0,HP,837.0,DEF%,12.4,Crit Rate,7.0,Crit DMG,12.4,26.4
Nahida,Circlet,Deepwood Memories,+20,Crit DMG,62.2,Crit Rate,9.7,DEF,16.0,ER%,11.7,HP%,14.6,19.4
Kujou Sara,Flower,Noblesse Oblige,+20,HP,4780.0,Crit DMG,19.4,EM,23.0,Crit Rate,6.2,DEF,44.0,31.8
Kujou Sara,Plume,Noblesse Oblige,+20,ATK,311.0,Crit Rate,13.6,DEF,21.0,Crit DMG,6.2,ER%,11.0,33.4
Kujou Sara,Sands,Noblesse Oblige,+20,ATK%,46.6,ER%,11.0,HP%,8.2,Crit Rate,6.6,Crit DMG,14.0,27.2
Kujou Sara,Goblet,Viridescent Venerer,+20,Electro DMG%,46.6,Crit DMG,20.2,DEF%,12.4,ER%,5.2,Crit Rate,10.1,40.4
Kujou Sara,Circlet,Noblesse Oblige,+20,Crit Rate,31.1,Crit DMG,28.8,HP%,9.9,ER%,6.5,ATK,19.0,28.8
Xilonen,Flower,Scroll of the Hero of Cinder City,+20,HP,4780.0,DEF%,14.6,DEF,42.0,ER%,17.5,HP%,11.1,0.0
Xilonen,Plume,Scroll of the Hero of Cinder City,+20,ATK,311.0,Crit Rate,3.9,Crit DMG,7.0,HP,598.0,DEF%,30.6,14.8
Xilonen,Sands,Scroll of the Hero of Cinder City,+20,DEF%,58.3,DEF,21.0,Crit Rate,17.5,HP%,4.1,ER%,5.2,35.0
Xilonen,Goblet,Crimson Witch of Flames,+20,DEF%,58.3,ER%,5.8,ATK%,9.3,Crit DMG,5.4,Crit Rate,12.4,30.2
Xilonen,Circlet,Scroll of the Hero of Cinder City,+20,DEF%,58.3,DEF,39.0,ER%,12.3,Crit Rate,7.0,HP%,8.2,14.0
Durin,Flower,Shimenawa's Reminiscence,+20,HP,4780.0,ER%,11.7,Crit DMG,13.2,Crit Rate,3.1,ATK%,16.3,19.4
Durin,Plume,Noblesse Oblige,+20,ATK,311.0,Crit Rate,13.6,ATK%,4.1,ER%,6.5,HP%,9.9,27.2
Durin,Sands,Noblesse Oblige,+20,ATK%,46.6,ER%,4.5,Crit Rate,12.8,Crit DMG,12.4,DEF,19.0,38.0
Durin,Goblet,Noblesse Oblige,+20,ATK%,46.6,Crit Rate,11.3,ATK,47.0,ER%,6.5,Crit DMG,13.2,35.8
Durin,Circlet,Noblesse Oblige,+20,Crit DMG,62.2,ATK%,14.6,Crit Rate,5.8,ATK,19.0,DEF,42.0,11.6
Fischl,Flower,Brave Heart,+20,HP,4780.0,ATK%,9.9,Crit DMG,20.2,Crit Rate,10.1,HP%,5.3,40.4
Fischl,Plume,Brave Heart,+20,ATK,311.0,Crit DMG,13.2,Crit Rate,13.6,ATK%,5.8,HP%,4.1,40.4
Fischl,Sands,Brave Heart,+20,ATK%,46.6,Crit DMG,28.8,DEF%,7.3,ER%,5.8,Crit Rate,6.6,42.0
Fischl,Goblet,Golden Troupe,+20,Electro DMG%,46.6,DEF,21.0,Crit Rate,13.6,HP%,4.7,ATK%,14.6,27.2
Fischl,Circlet,Brave Heart,+20,Crit Rate,31.1,ATK%,16.3,Crit DMG,21.0,EM,42.0,ATK,18.0,21.0
