Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Keqing,90,19241,2265,799,0,113.0,82.0,236.6,Pyro,48.0,196.0,Brave Heart,HP,4780,43.6,ER%:6.5 | ATK%:8.7 | Crit DMG:21.8 | Crit Rate:10.9,Thundersoother,ATK,311,49.0,ATK%:5.3 | Crit Rate:13.6 | Crit DMG:21.8 | HP:269,Brave Heart,ATK%,46.6,49.0,Crit Rate:10.9 | Crit DMG:27.2 | HP:239 | ER%:6.5,Brave Heart,Electro DMG%,46.6,35.0,HP:239 | Crit Rate:10.5 | Crit DMG:14 | ATK%:15.2,Brave Heart,Crit Rate,31.1,19.4,HP%:4.7 | Crit DMG:19.4 | ATK%:16.9 | ATK:33
Citlali,90,19432,1104,993,1186,138.9,20.9,64.0,N/A,0.0,45.8,Lavawalker's Epiphany,HP,4780,14,Crit DMG:14 | ER%:5.8 | ATK%:4.1 | EM:107,Scroll of the Hero of Cinder City,ATK,311,0,DEF:44 | ATK%:5.3 | EM:40 | ER%:17.5,Scroll of the Hero of Cinder City,EM,187,14,HP:1255 | ER%:6.5 | Crit Rate:7 | HP%:4.1,Scroll of the Hero of Cinder City,EM,187,0,HP%:5.8 | DEF%:19 | ATK:31 | ER%:9.1,Scroll of the Hero of Cinder City,EM,187,17.8,HP%:5.3 | DEF:42 | Crit Rate:8.9 | ATK:31
ID_10000007,90,16780,1439,832,246,235.1,24.0,116.8,Dendro,61.6,104.8,Deepwood Memories,HP,4780,0,ER%:11 | EM:44 | ATK:16 | ATK%:19.2,Deepwood Memories,ATK,311,38.8,Crit Rate:9.3 | Crit DMG:20.2 | ATK%:5.3 | DEF:21,Deepwood Memories,ER%,51.8,14.8,DEF%:13.1 | HP:568 | Crit DMG:14.8 | ATK:37,Brave Heart,Dendro DMG%,46.6,38.8,ATK%:4.7 | Crit Rate:9.7 | Crit DMG:19.4 | ATK:39,Deepwood Memories,EM,187,12.4,DEF:39 | Crit DMG:12.4 | HP:508 | ER%:11
Nilou,90,49797,1536,752,190,130.4,17.4,130.0,N/A,0.0,104.9,Set_15026,HP,4780,27.2,Crit DMG:27.2 | HP%:11.1 | DEF:23 | ATK:31,Set_15026,ATK,311,20.2,Crit DMG:14.8 | HP%:11.7 | EM:75 | Crit Rate:2.7,Thundersoother,HP%,46.6,21,Crit DMG:21 | ATK%:9.9 | ATK:14 | ER%:12.3,Set_15026,HP%,46.6,36.5,ATK:27 | Crit DMG:17.1 | Crit Rate:9.7 | ER%:5.8,Set_15026,HP%,46.6,0,ER%:12.3 | HP:777 | EM:35 | ATK:35
Fischl,90,15139,1799,645,247,109.7,68.8,158.8,Electro,61.6,174.09999999999997,Golden Troupe,HP,4780,40.4,EM:40 | HP%:5.3 | Crit Rate:2.7 | Crit DMG:35,Golden Troupe,ATK,311,34.2,Crit DMG:14 | DEF:21 | Crit Rate:10.1 | ER%:9.7,Brave Heart,ATK%,46.6,39.6,Crit Rate:9.7 | HP:478 | EM:19 | Crit DMG:20.2,Thundering Fury,Electro DMG%,46.6,41.2,DEF%:5.1 | Crit DMG:21 | Crit Rate:10.1 | ATK%:5.8,Thundering Fury,Crit Rate,31.1,18.7,EM:23 | Crit DMG:18.7 | HP:209 | ATK%:21
Ganyu,90,16119,1709,789,103,267.4,21.3,186.3,N/A,0.0,68.4,Noblesse Oblige,HP,4780,6.2,Crit DMG:6.2 | ATK:49 | ER%:11 | ATK%:10.5,Emblem of Severed Fate,ATK,311,11.7,ER%:23.3 | DEF%:7.3 | HP%:5.8 | Crit DMG:11.7,Noblesse Oblige,ER%,51.8,0,ATK:53 | EM:23 | HP%:9.9 | DEF:39,Emblem of Severed Fate,ATK%,46.6,30.3,Crit Rate:6.2 | Crit DMG:17.9 | EM:35 | ATK:16,Thundersoother,Crit DMG,62.2,20.2,EM:44 | Crit Rate:10.1 | ATK%:5.3 | DEF%:11.7
Raiden Shogun,90,20150,1438,887,0,292.5,57.9,120.7,Electro,200.6,114.1,Emblem of Severed Fate,HP,4780,26.4,Crit Rate:6.2 | ATK:35 | Crit DMG:14 | ER%:13,Emblem of Severed Fate,ATK,311,27.2,Crit Rate:3.1 | ER%:11.7 | DEF%:12.4 | Crit DMG:21,Thundering Fury,ER%,51.8,31.8,Crit Rate:5.8 | ATK%:14 | Crit DMG:20.2 | ATK:14,Emblem of Severed Fate,Electro DMG%,46.6,28.7,HP:448 | Crit DMG:15.5 | ER%:13 | Crit Rate:6.6,Emblem of Severed Fate,Crit Rate,31.1,0,ER%:5.2 | HP%:14 | HP:209 | ATK%:13.4
Hu Tao,90,33252,889,916,328,110.4,67.6,173.1,Pyro,61.6,147.7,Crimson Witch of Flames,HP,4780,31.8,Crit Rate:9.3 | ER%:10.4 | Crit DMG:13.2 | HP%:5.8,Crimson Witch of Flames,ATK,311,31.8,Crit Rate:2.7 | HP:299 | HP%:15.7 | Crit DMG:26.4,Thundering Fury,HP%,46.6,41.3,Crit Rate:8.6 | EM:23 | Crit DMG:24.1 | HP:209,Marechaussee Hunter,Pyro DMG%,46.6,21.8,DEF:39 | ATK:18 | Crit Rate:10.9 | EM:40,Marechaussee Hunter,Crit Rate,31.1,21,HP%:9.9 | Crit DMG:21 | EM:44 | HP:269
Nahida,90,15563,1176,768,843,110.4,40.8,154.9,Dendro,46.6,114.10000000000001,Set_15026,HP,4780,38.8,Crit DMG:25.6 | DEF:39 | EM:21 | Crit Rate:6.6,Set_15026,ATK,311,17.1,DEF%:12.4 | Crit DMG:11.7 | EM:56 | Crit Rate:2.7,Thundersoother,EM,187,25.6,Crit Rate:10.1 | Crit DMG:5.4 | HP%:4.1 | ATK%:18.7,Thundering Fury,Dendro DMG%,46.6,19.4,ATK%:11.1 | Crit Rate:9.7 | EM:54 | DEF:21,Thundersoother,Crit DMG,62.2,13.2,EM:63 | ER%:10.4 | ATK:18 | Crit Rate:6.6
Shenhe,90,21720,2944,846,58,195.8,38.1,113.7,Pyro,24.0,129.79999999999998,Noblesse Oblige,HP,4780,32.6,Crit DMG:7.8 | ATK:19 | Crit Rate:12.4 | ER%:16.2,Noblesse Oblige,ATK,311,35.0,DEF:16 | ER%:18.1 | Crit DMG:14 | Crit Rate:10.5,Noblesse Oblige,ER%,51.8,28.8,EM:42 | ATK%:8.7 | Crit DMG:28.8 | ATK:16,Noblesse Oblige,ATK%,46.6,33.4,Crit Rate:10.1 | EM:16 | HP%:11.1 | Crit DMG:13.2,Viridescent Venerer,ATK%,46.6,0,HP:538 | ER%:9.7 | ATK:16 | HP%:15.2
