Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Furina,95,35773,1124,743,40,100.0,101.2,245.4,Hydro,46.6,199.0,1
Neuvillette,95,40587,1104,692,0,105.2,64.5,273.7,Hydro,46.6,153.8,4
Kaedehara Kazuha,90,22539,1434,930,994,112.3,22.1,94.3,Anemo,15.0,78.6,1
Xilonen,90,20916,1256,3382,0,180.3,12.4,60.9,N/A,0.0,25.700000000000003,1
Nahida,90,15439,1424,690,908,122.0,61.4,134.7,Dendro,46.6,135.3,1
Fischl,90,15280,1329,629,154,177.1,75.7,186.0,Electro,46.6,160.10000000000002,5
Keqing,90,18421,2089,886,47,123.3,63.3,227.3,Pyro,24.0,149.2,1
Ganyu,90,15548,2463,718,99,122.0,42.3,247.0,Cryo,46.6,171.0,1
Diluc,90,18298,2573,976,37,105.2,75.5,175.9,Pyro,61.6,166.29999999999998,1
Bennett,90,27559,1390,973,128,238.1,19.5,98.2,N/A,0.0,69.2,1
Kamisato Ayaka,90,18654,2328,897,0,100.0,93.2,172.3,Cryo,46.6,143.0,5
Yoimiya,90,16074,2440,741,0,100.0,71.6,259.9,Pyro,46.6,176.4,1
