Character,Slot,Set,Level,Main_Stat,Main_Value,Sub1,Sub1_Val,Sub2,Sub2_Val,Sub3,Sub3_Val,Sub4,Sub4_Val,Crit_Value
Furina,Flower,Golden Troupe,+20,HP,4780.0,Crit Rate,11.7,HP%,5.3,Crit DMG,28.0,EM,19.0,51.4
Furina,Plume,Golden Troupe,+20,ATK,311.0,HP,299.0,Crit Rate,7.4,HP%,10.5,Crit DMG,28.8,43.6
Furina,Sands,Golden Troupe,+20,HP%,46.6,Crit Rate,17.1,Crit DMG,7.0,ER%,10.4,HP,209.0,41.2
Furina,Goblet,Emblem of Severed Fate,+20,Hydro DMG%,46.6,HP%,15.7,Crit DMG,29.5,Crit Rate,3.9,DEF%,5.8,37.3
Furina,Circlet,Golden Troupe,+20,Crit Rate,31.1,HP%,9.9,Crit DMG,28.7,HP,598.0,ATK,18.0,28.7
Columbina,Flower,Set_15043,+20,HP,4780.0,Crit Rate,10.9,Crit DMG,6.2,DEF,16.0,EM,65.0,28.0
Columbina,Plume,Set_15043,+20,ATK,311.0,Crit DMG,34.2,DEF,21.0,ATK%,5.3,Crit Rate,5.4,45.0
Columbina,Sands,Golden Troupe,+20,HP%,46.6,Crit Rate,6.2,ER%,6.5,HP,239.0,Crit DMG,25.6,38.0
Columbina,Goblet,Set_15043,+20,HP%,46.6,Crit Rate,9.3,DEF,16.0,DEF%,13.9,Crit DMG,10.9,29.5
Columbina,Circlet,Set_15043,+20,Crit DMG,62.2,HP%,15.7,Crit Rate,6.6,DEF%,11.7,EM,23.0,13.2
Escoffier,Flower,Golden Troupe,+20,HP,4780.0,ATK%,4.1,ATK,14.0,Crit DMG,28.0,Crit Rate,9.3,46.6
Escoffier,Plume,Golden Troupe,+20,ATK,311.0,Crit DMG,22.5,ATK%,10.5,Crit Rate,9.7,EM,21.0,41.9
Escoffier,Sands,Gladiator's Finale,+20,ATK%,46.6,DEF,16.0,Crit Rate,10.1,Crit DMG,17.9,ATK,18.0,38.1
Escoffier,Goblet,Golden Troupe,+20,Cryo DMG%,46.6,EM,16.0,Crit DMG,14.0,HP%,5.3,Crit Rate,15.9,45.8
Escoffier,Circlet,Golden Troupe,+20,Crit DMG,62.2,Crit Rate,9.7,DEF,21.0,HP,448.0,ATK%,9.9,19.4
Arlecchino,Flower,Marechaussee Hunter,+20,HP,4780.0,ATK,16.0,Crit Rate,5.8,Crit DMG,18.7,ATK%,17.5,30.3
