Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Keqing,90,18657,1922,839,47,105.8,76.6,288.7,Pyro,48.0,237.39999999999998,Brave Heart,HP,4780,50.6,DEF:16 | Crit Rate:10.9 | ATK:18 | Crit DMG:28.8,Obsidian Codex,ATK,311,50.6,DEF:23 | Crit Rate:14.4 | ATK%:4.7 | Crit DMG:21.8,Brave Heart,ATK%,46.6,51.4,Crit Rate:7.8 | Crit DMG:35.8 | HP%:4.1 | ATK:14,Brave Heart,Electro DMG%,46.6,49.0,Crit Rate:20.6 | Crit DMG:7.8 | HP:239 | ER%:5.8,Brave Heart,Crit DMG,62.2,35.8,ATK%:5.3 | ATK:19 | Crit Rate:17.9 | EM:47
Yoimiya,90,16434,2263,638,86,100.0,98.0,198.2,Pyro,46.6,169.5,Blizzard Strayer,HP,4780,42.0,ATK%:5.3 | ATK:16 | Crit DMG:7.8 | Crit Rate:17.1,Blizzard Strayer,ATK,311,28.0,Crit DMG:14 | ATK%:19.2 | Crit Rate:7 | HP:239,Blizzard Strayer,ATK%,46.6,35.0,Crit Rate:10.1 | EM:44 | Crit DMG:14.8 | HP%:4.7,Gladiator's Finale,Pyro DMG%,46.6,43.5,HP:209 | Crit DMG:29.5 | Crit Rate:7 | EM:42,Blizzard Strayer,Crit DMG,62.2,21.0,DEF:23 | Crit Rate:10.5 | ATK:51 | HP:568
Sangonomiya Kokomi,90,41203,1224,690,100,193.9,-91.1,65.5,Hydro,75.4,23.4,Crimson Witch of Flames,HP,4780,7.8,Crit DMG:7.8 | ATK:16 | ER%:30.5 | HP%:11.1,Crimson Witch of Flames,ATK,311,7.8,HP:299 | Crit DMG:7.8 | HP%:21.6 | ER%:16.8,Crimson Witch of Flames,HP%,46.6,0.0,ER%:18.8 | DEF:32 | EM:40 | HP:269,Golden Troupe,Hydro DMG%,46.6,7.8,ER%:15.5 | Crit Rate:3.9 | ATK:16 | HP%:20.4,Crimson Witch of Flames,Healing%,35.9,0.0,HP%:16.9 | ER%:12.3 | EM:61 | ATK%:4.7
Ganyu,90,15484,2912,630,157,111.7,51.7,181.6,Cryo,46.6,186.5,Thundersoother,HP,4780,32.7,ATK%:14 | Crit Rate:10.5 | Crit DMG:11.7 | HP%:4.1,Thundersoother,ATK,311,31.0,Crit DMG:13.2 | ER%:11.7 | Crit Rate:8.9 | EM:35,Thundersoother,ATK%,46.6,45.8,Crit DMG:26.4 | Crit Rate:9.7 | ATK:18 | HP:269,Blizzard Strayer,Cryo DMG%,46.6,28.0,ATK%:15.2 | EM:42 | Crit Rate:6.6 | Crit DMG:14.8,Thundersoother,ATK%,46.6,49.0,Crit Rate:10.9 | Crit DMG:27.2 | HP:239 | ATK:19
Lynette,90,21246,2201,779,0,106.5,110.2,175.1,Anemo,70.6,184.89999999999998,Blizzard Strayer,HP,4780,40.4,Crit Rate:7 | Crit DMG:26.4 | ATK:37 | ATK%:5.8,Marechaussee Hunter,ATK,311,44.3,DEF:21 | Crit DMG:16.3 | Crit Rate:14 | HP%:5.8,Marechaussee Hunter,ATK%,46.6,46.6,ATK:16 | Crit DMG:13.2 | Crit Rate:16.7 | ER%:6.5,Marechaussee Hunter,Anemo DMG%,46.6,33.4,Crit Rate:13.2 | Crit DMG:7 | ATK%:8.7 | HP:269,Marechaussee Hunter,Crit DMG,62.2,20.2,ATK%:10.5 | DEF%:6.6 | Crit Rate:10.1 | HP:598
Furina,90,37209,1154,781,0,153.1,75.1,261.8,N/A,0.0,163.2,Golden Troupe,HP,4780,34.2,DEF%:6.6 | ER%:12.3 | Crit Rate:10.5 | Crit DMG:13.2,Golden Troupe,ATK,311,45.0,Crit DMG:20.2 | ER%:6.5 | Crit Rate:12.4 | DEF:19,Golden Troupe,HP%,46.6,37.4,ER%:11 | ATK:16 | Crit DMG:21.8 | Crit Rate:7.8,Marechaussee Hunter,HP%,46.6,35.8,Crit Rate:14.8 | ER%:16.8 | ATK%:5.3 | Crit DMG:6.2,Golden Troupe,Crit DMG,62.2,10.8,HP%:18.7 | ER%:6.5 | DEF:21 | Crit Rate:5.4
Chiori,95,16624,1506,2339,21,104.5,77.9,281.2,Geo,46.6,188.0,Wanderer's Troupe,HP,4780,44.4,Crit DMG:14 | Crit Rate:15.2 | ATK:16 | ATK%:9.9,Wanderer's Troupe,ATK,311,40.4,Crit DMG:20.2 | ATK%:10.5 | Crit Rate:10.1 | DEF:16,Wanderer's Troupe,DEF%,58.3,40.4,Crit Rate:3.1 | Crit DMG:34.2 | DEF:21 | ER%:4.5,Brave Heart,Geo DMG%,46.6,38.0,Crit Rate:12.8 | Crit DMG:12.4 | DEF%:10.2 | DEF:23,Wanderer's Troupe,Crit DMG,62.2,24.8,ATK%:10.5 | DEF%:12.4 | Crit Rate:12.4 | EM:21
Nilou,90,51454,1087,766,235,146.1,35.7,102.8,Electro,15.0,114.2,Thundering Fury,HP,4780,28.0,Crit Rate:7 | Crit DMG:14 | HP%:14.6 | DEF:16,Gladiator's Finale,ATK,311,12.4,Crit Rate:2.7 | Crit DMG:7 | HP%:15.7 | ER%:18.1,Thundering Fury,HP%,46.6,31.8,EM:33 | Crit DMG:12.4 | DEF:21 | Crit Rate:9.7,Golden Troupe,HP%,46.6,35.8,EM:37 | Crit DMG:13.2 | Crit Rate:11.3 | HP:508,Brave Heart,HP%,46.6,6.2,ATK:37 | ER%:11 | Crit DMG:6.2 | HP:777
Mualani,90,34167,1172,654,75,100.0,60.8,207.7,Hydro,46.6,113.4,Obsidian Codex,HP,4780,28.0,HP%:8.7 | Crit DMG:20.2 | ATK:35 | Crit Rate:3.9,Obsidian Codex,ATK,311,20.2,ATK%:5.8 | EM:37 | HP%:15.2 | Crit DMG:20.2,Obsidian Codex,HP%,46.6,18.6,ATK%:11.1 | HP:448 | Crit Rate:9.3 | DEF:23,Obsidian Codex,Hydro DMG%,46.6,24.8,DEF:23 | ATK:18 | Crit Rate:12.4 | HP:837,Marechaussee Hunter,Crit DMG,62.2,21.8,DEF%:6.6 | HP%:14.6 | EM:37 | Crit Rate:10.9
Citlali,90,21125,1048,993,993,157.0,15.5,50.0,N/A,0.0,21.0,Scroll of the Hero of Cinder City,HP,4780,21.0,ATK:16 | Crit Rate:10.5 | EM:61 | ER%:12.3,Scroll of the Hero of Cinder City,ATK,311,0.0,HP%:5.8 | ER%:16.2 | HP:687 | EM:37,Scroll of the Hero of Cinder City,EM,187.0,0.0,ATK:29 | ATK%:5.3 | ER%:5.2 | HP%:21.6,Scroll of the Hero of Cinder City,EM,187.0,0.0,ATK%:5.3 | DEF%:12.4 | ATK:51 | ER%:10.4,Scroll of the Hero of Cinder City,EM,187.0,0.0,DEF%:13.1 | DEF:35 | ER%:13 | HP:837
