Character,Slot,Set,Level,Main_Stat,Main_Value,Sub1,Sub1_Val,Sub2,Sub2_Val,Sub3,Sub3_Val,Sub4,Sub4_Val,Crit_Value
Keqing,Flower,Brave Heart,+20,HP,4780.0,ATK,16.0,Crit DMG,35.7,ATK%,5.8,Crit Rate,7.4,50.5
Keqing,Plume,Brave Heart,+20,ATK,311.0,Crit Rate,11.7,HP%,5.8,ATK%,16.3,Crit DMG,14.0,37.4
Keqing,Sands,Brave Heart,+20,ATK%,46.6,Crit Rate,10.1,Crit DMG,21.0,ER%,6.5,ATK,33.0,41.2
Keqing,Goblet,Brave Heart,+20,Electro DMG%,46.6,Crit DMG,35.0,Crit Rate,6.6,ATK%,5.3,DEF%,6.6,48.2
Keqing,Circlet,Crimson Witch of Flames,+20,Crit Rate,31.1,HP,299.0,ATK%,9.3,Crit DMG,28.0,ATK,19.0,28.0
Nahida,Flower,Deepwood Memories,+20,HP,4780.0,Crit Rate,3.5,Crit DMG,12.4,ATK%,9.3,EM,49.0,19.4
Nahida,Plume,Deepwood Memories,+20,ATK,311.0,EM,16.0,HP,687.0,Crit DMG,27.2,DEF,16.0,27.2
Nahida,Sands,Deepwood Memories,+20,EM,187.0,Crit DMG,12.4,ATK%,12.8,DEF%,10.9,Crit Rate,3.1,18.6
Nahida,Goblet,Obsidian Codex,+20,EM,187.0,Crit Rate,5.8,DEF%,6.6,Crit DMG,28.0,DEF,21.0,39.6
Nahida,Circlet,Deepwood Memories,+20,EM,187.0,Crit DMG,14.8,ATK%,19.2,HP%,4.1,ATK,14.0,14.8
Furina,Flower,Golden Troupe,+20,HP,4780.0,HP%,9.3,ATK,29.0,Crit DMG,7.8,Crit Rate,9.3,26.4
Furina,Plume,Golden Troupe,+20,ATK,311.0,Crit DMG,33.4,Crit Rate,7.0,HP%,4.1,EM,23.0,47.4
Furina,Sands,Golden Troupe,+20,ER%,51.8,Crit Rate,10.5,Crit DMG,7.8,HP%,9.3,DEF,37.0,28.8
Furina,Goblet,Golden Troupe,+20,HP%,46.6,ATK,16.0,EM,19.0,DEF%,13.1,Crit Rate,12.1,24.2
Furina,Circlet,Obsidian Codex,+20,Crit DMG,62.2,ER%,23.3,HP%,9.3,ATK,14.0,Crit Rate,3.5,7.0
Columbina,Flower,Set_15043,+20,HP,4780.0,DEF,16.0,ATK,18.0,Crit DMG,7.8,Crit Rate,21.8,51.4
Columbina,Plume,Set_15043,+20,ATK,311.0,Crit Rate,7.0,Crit DMG,25.7,DEF%,12.4,HP,209.0,39.7
Columbina,Sands,Set_15043,+20,HP%,46.6,DEF,39.0,ATK,16.0,Crit Rate,7.0,Crit DMG,21.0,35.0
Columbina,Goblet,Set_15043,+20,HP%,46.6,DEF,19.0,ATK%,15.2,Crit Rate,9.3,Crit DMG,7.8,26.4
Columbina,Circlet,Brave Heart,+20,Crit DMG,62.2,ER%,10.4,HP%,9.3,ATK,14.0,Crit Rate,12.8,25.6
Raiden Shogun,Flower,Gladiator's Finale,+20,HP,4780.0,Crit Rate,18.3,ATK%,4.7,Crit DMG,13.2,HP%,4.7,49.8
Raiden Shogun,Plume,Emblem of Severed Fate,+20,ATK,311.0,Crit DMG,19.4,HP,269.0,Crit Rate,10.1,ATK%,5.8,39.6
Raiden Shogun,Sands,Emblem of Severed Fate,+20,ER%,51.8,ATK%,15.2,HP,508.0,EM,21.0,Crit DMG,19.4,19.4
Raiden Shogun,Goblet,Emblem of Severed Fate,+20,ATK%,46.6,ER%,6.5,Crit DMG,17.1,EM,35.0,Crit Rate,7.4,31.9
Raiden Shogun,Circlet,Emblem of Severed Fate,+20,Crit Rate,31.1,EM,40.0,HP,538.0,Crit DMG,21.8,ATK%,5.3,21.8
Mavuika,Flower,Obsidian Codex,+20,HP,4780.0,Crit Rate,9.7,ATK%,21.0,DEF,16.0,Crit DMG,7.0,26.4
Mavuika,Plume,Obsidian Codex,+20,ATK,311.0,Crit Rate,13.2,Crit DMG,13.2,HP,418.0,ATK%,5.3,39.6
Mavuika,Sands,Obsidian Codex,+20,EM,187.0,ER%,5.8,Crit Rate,2.7,HP,538.0,Crit DMG,24.9,30.3
Mavuika,Goblet,Obsidian Codex,+20,Pyro DMG%,46.6,ATK%,10.5,ATK,14.0,Crit DMG,28.8,Crit Rate,7.8,44.4
Mavuika,Circlet,Brave Heart,+20,Crit DMG,62.2,EM,56.0,ER%,5.2,ATK%,21.6,Crit Rate,2.7,5.4
Sigewinne,Flower,Vourukasha's Glow,+20,HP,4780.0,ER%,4.5,HP%,8.7,Crit DMG,5.4,Crit Rate,17.5,40.4
Sigewinne,Plume,Vourukasha's Glow,+20,ATK,311.0,DEF,16.0,Crit Rate,6.6,HP%,14.0,Crit DMG,18.7,31.9
Sigewinne,Sands,Set_15026,+20,HP%,46.6,Crit Rate,10.9,Crit DMG,24.1,ER%,5.2,HP,209.0,45.9
Sigewinne,Goblet,Pale Flame,+20,HP%,46.6,ATK,14.0,DEF,39.0,Crit DMG,23.3,Crit Rate,5.8,34.9
Sigewinne,Circlet,Pale Flame,+20,HP%,46.6,Crit Rate,6.2,DEF%,18.2,ER%,5.8,Crit DMG,20.2,32.6
