Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Keqing,100,19931,2340,912,0,106.5,71.9,266.2,Pyro,15.0,205.3,2
Nahida,90,16250,1513,777,1005,100.0,17.4,144.8,Dendro,15.0,119.59999999999998,3
Furina,90,32128,1155,824,42,175.1,66.6,249.3,N/A,0.0,133.8,1
Columbina,90,36221,1092,653,80,110.4,82.1,262.6,N/A,0.0,178.1,1
Raiden Shogun,90,19603,2427,789,96,265.4,71.9,140.9,Electro,66.2,162.50000000000003,1
Mavuika,90,18288,2065,808,242,111.0,52.2,224.4,Pyro,46.6,146.1,1
Sigewinne,90,58045,1059,646,0,115.5,52.1,141.7,N/A,0.0,185.7,1
Klee,90,16082,1632,666,23,114.9,85.9,178.2,Pyro,90.4,172.50000000000003,5
Nilou,90,54526,1203,775,21,100.0,71.5,124.6,Hydro,61.6,145.5,1
Faruzan,90,14908,2151,768,35,104.5,79.7,181.4,Anemo,61.6,152.4,1
Mualani,90,39992,1077,699,23,100.0,59.2,254.8,Hydro,46.6,124.19999999999999,2
Citlali,90,16951,1213,858,1156,116.8,44.3,90.4,N/A,0.0,118.80000000000001,1
