Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Keqing,100,19931,2340,912,0,106.5,71.9,266.2,Pyro,15.0,205.3,Brave Heart,HP,4780,50.5,ATK:16 | Crit DMG:35.7 | ATK%:5.8 | Crit Rate:7.4,Brave Heart,ATK,311,37.4,Crit Rate:11.7 | HP%:5.8 | ATK%:16.3 | Crit DMG:14,Brave Heart,ATK%,46.6,41.2,Crit Rate:10.1 | Crit DMG:21 | ER%:6.5 | ATK:33,Brave Heart,Electro DMG%,46.6,48.2,Crit DMG:35 | Crit Rate:6.6 | ATK%:5.3 | DEF%:6.6,Crimson Witch of Flames,Crit Rate,31.1,28.0,HP:299 | ATK%:9.3 | Crit DMG:28 | ATK:19
Nahida,90,16250,1513,777,1005,100.0,17.4,144.8,Dendro,15.0,119.59999999999998,Deepwood Memories,HP,4780,19.4,Crit Rate:3.5 | Crit DMG:12.4 | ATK%:9.3 | EM:49,Deepwood Memories,ATK,311,27.2,EM:16 | HP:687 | Crit DMG:27.2 | DEF:16,Deepwood Memories,EM,187.0,18.6,Crit DMG:12.4 | ATK%:12.8 | DEF%:10.9 | Crit Rate:3.1,Obsidian Codex,EM,187.0,39.6,Crit Rate:5.8 | DEF%:6.6 | Crit DMG:28 | DEF:21,Deepwood Memories,EM,187.0,14.8,Crit DMG:14.8 | ATK%:19.2 | HP%:4.1 | ATK:14
Furina,90,32128,1155,824,42,175.1,66.6,249.3,N/A,0.0,133.8,Golden Troupe,HP,4780,26.4,HP%:9.3 | ATK:29 | Crit DMG:7.8 | Crit Rate:9.3,Golden Troupe,ATK,311,47.4,Crit DMG:33.4 | Crit Rate:7 | HP%:4.1 | EM:23,Golden Troupe,ER%,51.8,28.8,Crit Rate:10.5 | Crit DMG:7.8 | HP%:9.3 | DEF:37,Golden Troupe,HP%,46.6,24.2,ATK:16 | EM:19 | DEF%:13.1 | Crit Rate:12.1,Obsidian Codex,Crit DMG,62.2,7.0,ER%:23.3 | HP%:9.3 | ATK:14 | Crit Rate:3.5
Columbina,90,36221,1092,653,80,110.4,82.1,262.6,N/A,0.0,178.1,Set_15043,HP,4780,51.4,DEF:16 | ATK:18 | Crit DMG:7.8 | Crit Rate:21.8,Set_15043,ATK,311,39.7,Crit Rate:7 | Crit DMG:25.7 | DEF%:12.4 | HP:209,Set_15043,HP%,46.6,35.0,DEF:39 | ATK:16 | Crit Rate:7 | Crit DMG:21,Set_15043,HP%,46.6,26.4,DEF:19 | ATK%:15.2 | Crit Rate:9.3 | Crit DMG:7.8,Brave Heart,Crit DMG,62.2,25.6,ER%:10.4 | HP%:9.3 | ATK:14 | Crit Rate:12.8
Raiden Shogun,90,19603,2427,789,96,265.4,71.9,140.9,Electro,66.2,162.50000000000003,Gladiator's Finale,HP,4780,49.8,Crit Rate:18.3 | ATK%:4.7 | Crit DMG:13.2 | HP%:4.7,Emblem of Severed Fate,ATK,311,39.6,Crit DMG:19.4 | HP:269 | Crit Rate:10.1 | ATK%:5.8,Emblem of Severed Fate,ER%,51.8,19.4,ATK%:15.2 | HP:508 | EM:21 | Crit DMG:19.4,Emblem of Severed Fate,ATK%,46.6,31.9,ER%:6.5 | Crit DMG:17.1 | EM:35 | Crit Rate:7.4,Emblem of Severed Fate,Crit Rate,31.1,21.8,EM:40 | HP:538 | Crit DMG:21.8 | ATK%:5.3
Mavuika,90,18288,2065,808,242,111.0,52.2,224.4,Pyro,46.6,146.1,Obsidian Codex,HP,4780,26.4,Crit Rate:9.7 | ATK%:21 | DEF:16 | Crit DMG:7,Obsidian Codex,ATK,311,39.6,Crit Rate:13.2 | Crit DMG:13.2 | HP:418 | ATK%:5.3,Obsidian Codex,EM,187.0,30.3,ER%:5.8 | Crit Rate:2.7 | HP:538 | Crit DMG:24.9,Obsidian Codex,Pyro DMG%,46.6,44.4,ATK%:10.5 | ATK:14 | Crit DMG:28.8 | Crit Rate:7.8,Brave Heart,Crit DMG,62.2,5.4,EM:56 | ER%:5.2 | ATK%:21.6 | Crit Rate:2.7
Sigewinne,90,58045,1059,646,0,115.5,52.1,141.7,N/A,0.0,185.7,Vourukasha's Glow,HP,4780,40.4,ER%:4.5 | HP%:8.7 | Crit DMG:5.4 | Crit Rate:17.5,Vourukasha's Glow,ATK,311,31.9,DEF:16 | Crit Rate:6.6 | HP%:14 | Crit DMG:18.7,Set_15026,HP%,46.6,45.9,Crit Rate:10.9 | Crit DMG:24.1 | ER%:5.2 | HP:209,Pale Flame,HP%,46.6,34.9,ATK:14 | DEF:39 | Crit DMG:23.3 | Crit Rate:5.8,Pale Flame,HP%,46.6,32.6,Crit Rate:6.2 | DEF%:18.2 | ER%:5.8 | Crit DMG:20.2
Klee,90,16082,1632,666,23,114.9,85.9,178.2,Pyro,90.4,172.50000000000003,Crimson Witch of Flames,HP,4780,41.2,ATK:14 | Crit DMG:21 | Crit Rate:10.1 | ATK%:5.3,Crimson Witch of Flames,ATK,311,31.1,EM:23 | Crit DMG:11.7 | ER%:14.9 | Crit Rate:9.7,Crimson Witch of Flames,ATK%,46.6,33.4,HP:478 | Crit DMG:7.8 | DEF:16 | Crit Rate:12.8,Brave Heart,Pyro DMG%,46.6,40.4,Crit Rate:17.1 | Crit DMG:6.2 | ATK:14 | HP:269,Brave Heart,Crit Rate,31.1,26.4,ATK%:5.8 | HP:269 | DEF:35 | Crit DMG:26.4
Nilou,90,54526,1203,775,21,100.0,71.5,124.6,Hydro,61.6,145.5,Brave Heart,HP,4780,42.8,HP%:9.9 | Crit Rate:10.5 | ATK:16 | Crit DMG:21.8,Vourukasha's Glow,ATK,311,24.1,Crit DMG:11.7 | EM:21 | Crit Rate:6.2 | HP%:15.7,Nymph's Dream,HP%,46.6,28.8,ATK:51 | Crit DMG:14.8 | DEF:23 | Crit Rate:7,Nymph's Dream,Hydro DMG%,46.6,37.4,Crit Rate:11.7 | HP%:4.7 | ATK:18 | Crit DMG:14,Vourukasha's Glow,Crit Rate,31.1,12.4,DEF:23 | ATK:37 | Crit DMG:12.4 | HP%:15.7
Faruzan,90,14908,2151,768,35,104.5,79.7,181.4,Anemo,61.6,152.4,Viridescent Venerer,HP,4780,35.0,Crit Rate:10.9 | ATK%:9.9 | HP%:5.8 | Crit DMG:13.2,Viridescent Venerer,ATK,311,27.2,Crit DMG:7 | ATK%:9.9 | Crit Rate:10.1 | EM:35,Gladiator's Finale,ATK%,46.6,36.6,DEF:23 | Crit DMG:12.4 | DEF%:12.4 | Crit Rate:12.1,Brave Heart,Anemo DMG%,46.6,34.2,Crit Rate:10.5 | Crit DMG:13.2 | ATK%:4.1 | ATK:37,Gladiator's Finale,Crit Rate,31.1,19.4,Crit DMG:19.4 | ATK%:11.7 | ER%:4.5 | DEF:39
