Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Wriothesley,90,20353,2984,881,58,105.8,56.6,254.7,N/A,0.0,163.2,5
Columbina,100,40793,1032,600,80,129.1,86.0,261.8,N/A,0.0,185.0,1
Chiori,100,17031,1537,2864,19,100.0,101.2,215.1,Geo,46.6,168.50000000000003,5
Raiden Shogun,100,19411,3898,845,19,274.5,80.0,142.5,Electro,186.2,180.3,5
Yae Miko,90,15630,2343,585,115,100.0,100.4,256.1,N/A,0.0,230.1,5
Arlecchino,90,18122,2137,857,75,118.1,87.3,192.6,Pyro,46.6,162.29999999999998,5
Xianyun,100,16788,2916,657,21,106.5,54.4,205.4,Anemo,46.6,192.10000000000002,5
Neuvillette,90,43881,1134,593,37,105.8,64.1,298.6,N/A,0.0,177.89999999999998,5
Mualani,90,42443,1052,589,189,105.8,60.4,292.1,N/A,0.0,163.9,5
Ganyu,90,14577,2238,727,308,100.0,66.8,200.3,Cryo,46.6,173.29999999999998,5
Arataki Itto,90,17638,1165,2639,0,118.1,90.7,254.8,Geo,46.6,187.4,5
Nilou,90,70881,1127,923,82,141.4,87.2,206.5,N/A,0.0,80.8,5
