Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Wriothesley,90,20353,2984,881,58,105.8,56.6,254.7,N/A,0.0,163.2,Marechaussee Hunter,HP,4780,39.6,Crit DMG:28 | ATK%:10.5 | EM:23 | Crit Rate:5.8,Marechaussee Hunter,ATK,311,27.2,Crit DMG:20.2 | ATK%:9.3 | Crit Rate:3.5 | EM:35,Scroll of the Hero of Cinder City,ATK%,46.6,42.0,Crit Rate:3.9 | Crit DMG:34.2 | ER%:5.8 | HP%:9.9,Marechaussee Hunter,ATK%,46.6,42.8,DEF:23 | DEF%:12.4 | Crit Rate:10.5 | Crit DMG:21.8,Marechaussee Hunter,Crit DMG,62.2,11.6,HP%:4.7 | Crit Rate:5.8 | ATK:18 | ATK%:24.5
Columbina,100,40793,1032,600,80,129.1,86.0,261.8,N/A,0.0,185.0,Thundersoother,HP,4780,33.4,ATK%:5.3 | HP%:15.2 | Crit Rate:10.5 | Crit DMG:12.4,Golden Troupe,ATK,311,44.3,Crit DMG:25.7 | HP%:4.7 | ER%:6.5 | Crit Rate:9.3,Thundersoother,HP%,46.6,45.9,DEF:21 | Crit Rate:14.4 | ATK%:4.1 | Crit DMG:17.1,Golden Troupe,HP%,46.6,35.0,ER%:11.7 | Crit DMG:6.2 | DEF%:5.1 | Crit Rate:14.4,Thundersoother,Crit DMG,62.2,26.4,HP:269 | ER%:11 | Crit Rate:13.2 | HP%:4.1
Chiori,100,17031,1537,2864,19,100.0,101.2,215.1,Geo,46.6,168.50000000000003,Wanderer's Troupe,HP,4780,41.9,ATK:37 | Crit DMG:22.5 | Crit Rate:9.7 | DEF%:5.8,Wanderer's Troupe,ATK,311,32.6,Crit DMG:12.4 | Crit Rate:10.1 | ATK%:5.3 | DEF%:12.4,Obsidian Codex,DEF%,58.3,40.4,Crit Rate:16.3 | ATK%:9.9 | Crit DMG:7.8 | DEF:21,Wanderer's Troupe,Geo DMG%,46.6,24.8,Crit Rate:9.7 | Crit DMG:5.4 | DEF%:13.9 | ATK%:11.7,Wanderer's Troupe,Crit Rate,31.1,28.8,DEF:37 | DEF%:14.6 | EM:19 | Crit DMG:28.8
Raiden Shogun,100,19411,3898,845,19,274.5,80.0,142.5,Electro,186.2,180.3,Emblem of Severed Fate,HP,4780,37.3,ATK%:11.1 | ATK:16 | Crit Rate:9.3 | Crit DMG:18.7,Emblem of Severed Fate,ATK,311,42.0,Crit Rate:7.4 | ATK%:11.1 | HP%:5.8 | Crit DMG:27.2,Emblem of Severed Fate,ER%,51.8,34.2,Crit DMG:7 | ATK:14 | ATK%:13.4 | Crit Rate:13.6,Emblem of Severed Fate,Electro DMG%,46.6,47.4,Crit DMG:20.2 | Crit Rate:13.6 | ATK:18 | ER%:4.5,Desert Pavilion Chronicle,Crit Rate,31.1,19.4,ER%:11 | ATK%:15.7 | EM:19 | Crit DMG:19.4
Yae Miko,90,15630,2343,585,115,100.0,100.4,256.1,N/A,0.0,230.1,Set_15026,HP,4780,46.6,Crit DMG:28 | ATK:19 | Crit Rate:9.3 | ATK%:4.1,Nymph's Dream,ATK,311,51.4,HP:209 | Crit Rate:19.1 | ATK%:5.3 | Crit DMG:13.2,Thundersoother,ATK%,46.6,43.5,Crit Rate:10.5 | ATK:16 | Crit DMG:22.5 | EM:35,Thundersoother,ATK%,46.6,48.2,Crit DMG:14 | ATK:18 | Crit Rate:17.1 | HP:269,Flower of Paradise Lost,Crit DMG,62.2,40.4,DEF:16 | ATK%:4.7 | Crit Rate:20.2 | ATK:16
Arlecchino,90,18122,2137,857,75,118.1,87.3,192.6,Pyro,46.6,162.29999999999998,Fragment of Harmonic Whimsy,HP,4780,42.0,Crit DMG:7.8 | ER%:6.5 | EM:16 | Crit Rate:17.1,Fragment of Harmonic Whimsy,ATK,311,32.6,ATK%:10.5 | DEF%:6.6 | Crit DMG:5.4 | Crit Rate:13.6,Fragment of Harmonic Whimsy,ATK%,46.6,30.3,DEF:23 | Crit DMG:23.3 | Crit Rate:3.5 | EM:58,Fragment of Harmonic Whimsy,Pyro DMG%,46.6,31.8,Crit Rate:13.2 | ATK:29 | HP:239 | Crit DMG:5.4,Fragment of Harmonic Whimsy,Crit DMG,62.2,25.6,ATK:18 | ER%:11.7 | DEF:19 | Crit Rate:12.8
Xianyun,100,16788,2916,657,21,106.5,54.4,205.4,Anemo,46.6,192.10000000000002,Scroll of the Hero of Cinder City,HP,4780,51.3,Crit DMG:43.5 | Crit Rate:3.9 | ATK:19 | ER%:6.5,Marechaussee Hunter,ATK,311,27.3,ATK%:14.6 | Crit Rate:7.8 | Crit DMG:11.7 | HP%:5.8,Marechaussee Hunter,ATK%,46.6,47.4,Crit Rate:13.6 | Crit DMG:20.2 | HP:209 | EM:21,Marechaussee Hunter,Anemo DMG%,46.6,44.3,Crit DMG:17.9 | ATK:18 | DEF:21 | Crit Rate:13.2,Marechaussee Hunter,Crit DMG,62.2,21.8,Crit Rate:10.9 | ATK:18 | ATK%:15.2 | DEF:23
Neuvillette,90,43881,1134,593,37,105.8,64.1,298.6,N/A,0.0,177.89999999999998,Marechaussee Hunter,HP,4780,34.2,Crit Rate:10.9 | Crit DMG:12.4 | ATK%:5.8 | HP%:9.9,Marechaussee Hunter,ATK,311,42.8,HP%:9.3 | HP:269 | Crit DMG:12.4 | Crit Rate:15.2,Marechaussee Hunter,HP%,46.6,41.1,EM:19 | ATK:14 | Crit DMG:22.5 | Crit Rate:9.3,Emblem of Severed Fate,HP%,46.6,45.8,Crit Rate:16.7 | Crit DMG:12.4 | ATK:16 | EM:19,Marechaussee Hunter,Crit DMG,62.2,14.0,HP%:19.8 | Crit Rate:7 | DEF:16 | ER%:5.8
Mualani,90,42443,1052,589,189,105.8,60.4,292.1,N/A,0.0,163.9,Obsidian Codex,HP,4780,42.0,HP%:5.8 | EM:21 | Crit Rate:7 | Crit DMG:28,Obsidian Codex,ATK,311,38.0,Crit DMG:19.4 | EM:42 | HP:209 | Crit Rate:9.3,Obsidian Codex,HP%,46.6,25.7,ER%:5.8 | Crit DMG:11.7 | Crit Rate:7 | EM:72,Wanderer's Troupe,HP%,46.6,46.6,DEF:19 | Crit Rate:7 | Crit DMG:32.6 | ATK:18,Obsidian Codex,Crit DMG,62.2,11.6,HP:538 | HP%:4.1 | Crit Rate:5.8 | EM:54
Ganyu,90,14577,2238,727,308,100.0,66.8,200.3,Cryo,46.6,173.29999999999998,Thundersoother,HP,4780,43.6,EM:40 | DEF%:5.8 | Crit Rate:11.7 | Crit DMG:20.2,Thundersoother,ATK,311,39.6,EM:44 | DEF%:6.6 | Crit DMG:32.6 | Crit Rate:3.5,Thundersoother,ATK%,46.6,33.4,Crit DMG:21 | Crit Rate:6.2 | EM:47 | DEF:19,Shimenawa's Reminiscence,Cryo DMG%,46.6,38.8,Crit DMG:20.2 | ATK:14 | Crit Rate:9.3 | EM:42,Thundersoother,Crit Rate,31.1,17.9,Crit DMG:17.9 | EM:56 | ATK:19 | ATK%:4.7
