Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Keqing,95,19139,2059,867,61,110.4,83.9,244.4,Pyro,15.0,207.60000000000002,Brave Heart,HP,4780,39.7,Crit DMG:18.7 | EM:19 | ATK%:10.5 | Crit Rate:10.5,Brave Heart,ATK,311,48.2,Crit Rate:7 | EM:23 | DEF:19 | Crit DMG:34.2,Brave Heart,ATK%,46.6,41.9,Crit DMG:15.5 | EM:19 | Crit Rate:13.2 | ATK:31,Gladiator's Finale,Electro DMG%,46.6,49.0,Crit DMG:14.8 | DEF:21 | HP%:5.8 | Crit Rate:17.1,Brave Heart,Crit Rate,31.1,28.8,ATK%:5.8 | Crit DMG:28.8 | ATK:33 | ER%:10.4
Chiori,90,16636,1314,2399,0,100.0,87.6,254.8,Geo,46.6,180.90000000000003,Wanderer's Troupe,HP,4780,39.6,Crit Rate:9.3 | Crit DMG:21 | DEF%:5.8 | ATK%:9.9,Wanderer's Troupe,ATK,311,42.7,HP:209 | Crit DMG:15.5 | Crit Rate:13.6 | DEF%:10.9,Nighttime Whispers in the Echoing Woods,DEF%,58.3,40.4,HP:209 | ATK:18 | Crit Rate:6.2 | Crit DMG:28,Wanderer's Troupe,Geo DMG%,46.6,31.8,Crit Rate:3.1 | Crit DMG:25.6 | DEF%:11.7 | ATK:19,Wanderer's Troupe,Crit Rate,31.1,26.4,DEF:39 | Crit DMG:26.4 | DEF%:10.9 | ATK:16
Nahida,90,16100,1152,676,851,157.6,67.2,132.4,Dendro,15.0,144.5,Deepwood Memories,HP,4780,24.0,Crit DMG:12.4 | Crit Rate:5.8 | EM:19 | ER%:16.8,Deepwood Memories,ATK,311,28.0,ER%:11 | Crit DMG:12.4 | Crit Rate:7.8 | EM:42,Deepwood Memories,EM,187.0,26.4,HP:239 | Crit DMG:19.4 | Crit Rate:3.5 | ER%:18.1,Crimson Witch of Flames,EM,187.0,40.4,Crit DMG:12.4 | Crit Rate:14 | HP%:4.1 | ER%:11.7,Deepwood Memories,Crit Rate,31.1,25.7,EM:37 | Crit DMG:25.7 | HP:299 | DEF%:7.3
Ganyu,90,16053,1855,754,152,116.8,79.0,193.3,Cryo,46.6,154.0,Thundersoother,HP,4780,33.4,Crit Rate:13.6 | Crit DMG:6.2 | ER%:11.7 | DEF%:7.3,Thundersoother,ATK,311,42.0,ER%:5.2 | ATK%:9.9 | Crit DMG:34.2 | Crit Rate:3.9,Thundersoother,ATK%,46.6,21.0,ATK:31 | EM:35 | Crit DMG:21 | HP:448,Song of Days Past,Cryo DMG%,46.6,35.8,Crit Rate:7 | ATK%:5.8 | Crit DMG:21.8 | DEF%:12.4,Thundersoother,Crit Rate,31.1,21.8,ATK%:5.8 | EM:37 | HP%:10.5 | Crit DMG:21.8
Lyney,90,13415,1412,707,19,100.0,48.7,225.7,Pyro,46.6,96.4,,,,,,,,,,,Brave Heart,ATK%,46.6,31.0,Crit Rate:5.8 | HP%:8.2 | Crit DMG:19.4 | HP:209,Marechaussee Hunter,Pyro DMG%,46.6,35.8,DEF%:11.7 | Crit DMG:28 | HP%:11.7 | Crit Rate:3.9,Marechaussee Hunter,Crit DMG,62.2,29.6,DEF%:19.7 | ATK%:5.8 | EM:19 | Crit Rate:14.8
Furina,90,21693,1114,780,65,190.0,92.2,247.8,Hydro,46.6,183.4,Golden Troupe,HP,4780,40.4,DEF%:5.8 | Crit Rate:12.8 | ER%:10.4 | Crit DMG:14.8,Golden Troupe,ATK,311,43.5,Crit DMG:29.5 | Crit Rate:7 | EM:19 | HP%:4.7,Golden Troupe,ER%,51.8,39.6,Crit Rate:10.1 | DEF:23 | EM:47 | Crit DMG:19.4,Golden Troupe,Hydro DMG%,46.6,31.9,ATK:18 | ER%:16.8 | Crit DMG:17.9 | Crit Rate:7,Obsidian Codex,Crit Rate,31.1,28.0,DEF:21 | HP%:5.8 | Crit DMG:28 | ER%:11
Noelle,90,17628,1079,2060,40,120.1,69.9,225.2,Geo,46.6,154.7,Retracing Bolide,HP,4780,35.0,DEF:23 | Crit DMG:7.8 | Crit Rate:13.6 | DEF%:13.1,Retracing Bolide,ATK,311,17.8,Crit DMG:6.2 | Crit Rate:5.8 | DEF%:16.8 | ER%:9.1,Retracing Bolide,DEF%,58.3,35.0,Crit Rate:7 | ER%:11 | Crit DMG:21 | ATK:35,Heart of Depth,Geo DMG%,46.6,39.7,DEF:19 | Crit DMG:24.9 | HP:508 | Crit Rate:7.4,Retracing Bolide,Crit Rate,31.1,27.2,EM:40 | HP:269 | Crit DMG:27.2 | DEF%:6.6
Nilou,90,64365,1162,807,199,115.5,33.4,88.1,N/A,0.0,94.8,Set_15026,HP,4780,24.0,Crit Rate:5.8 | Crit DMG:12.4 | EM:63 | ATK:16,Pale Flame,ATK,311,0,HP:896 | EM:56 | ER%:5.8 | HP%:4.7,Emblem of Severed Fate,HP%,46.6,28.0,ATK:18 | HP:568 | Crit Rate:14 | DEF:21,Set_15026,HP%,46.6,29.6,Crit Rate:8.6 | Crit DMG:12.4 | DEF%:5.1 | HP:508,Pale Flame,HP%,46.6,13.2,Crit DMG:13.2 | ER%:9.7 | ATK:47 | DEF:21
Mualani,90,31793,1066,686,79,116.8,52.6,241.1,Hydro,46.6,130.4,Obsidian Codex,HP,4780,33.4,Crit DMG:7 | Crit Rate:13.2 | ATK:31 | ATK%:4.7,Obsidian Codex,ATK,311,37.2,Crit Rate:8.9 | HP%:4.7 | HP:239 | Crit DMG:19.4,Obsidian Codex,HP%,46.6,27.2,Crit DMG:27.2 | EM:23 | DEF:37 | DEF%:13.9,Emblem of Severed Fate,Hydro DMG%,46.6,25.6,Crit DMG:20.2 | HP%:16.3 | EM:19 | Crit Rate:2.7,Obsidian Codex,Crit DMG,62.2,7.0,Crit Rate:3.5 | HP%:8.7 | ER%:16.8 | EM:37
Tighnari,90,16437,1115,672,325,106.5,85.2,186.8,Dendro,75.4,172.6,Set_15026,HP,4780,34.2,Crit Rate:6.6 | Crit DMG:21 | DEF:42 | ATK%:4.7,Set_15026,ATK,311,42.8,Crit DMG:13.2 | ATK%:4.7 | HP:239 | Crit Rate:14.8,Set_15026,EM,187.0,49.8,Crit DMG:19.4 | ER%:6.5 | HP:269 | Crit Rate:15.2,Set_15026,Dendro DMG%,46.6,33.4,ATK:33 | HP:299 | Crit Rate:6.2 | Crit DMG:21,Set_15026,Crit DMG,62.2,12.4,EM:58 | Crit Rate:6.2 | ATK:33 | ATK%:9.3
