Character,Slot,Set,Level,Main_Stat,Main_Value,Sub1,Sub1_Val,Sub2,Sub2_Val,Sub3,Sub3_Val,Sub4,Sub4_Val,Crit_Value
Yelan,Flower,Emblem of Severed Fate,+20,HP,4780.0,Crit DMG,11.7,ER%,9.1,Crit Rate,13.6,EM,21.0,38.9
Yelan,Plume,Emblem of Severed Fate,+20,ATK,311.0,Crit DMG,21.0,HP,299.0,Crit Rate,10.1,DEF,35.0,41.2
Yelan,Sands,Emblem of Severed Fate,+20,HP%,46.6,Crit DMG,27.2,EM,23.0,Crit Rate,6.6,ATK,16.0,40.4
Yelan,Goblet,Marechaussee Hunter,+20,Hydro DMG%,46.6,EM,21.0,HP%,11.1,Crit DMG,12.4,Crit Rate,10.5,33.4
Yelan,Circlet,Emblem of Severed Fate,+20,Crit Rate,31.1,ER%,10.4,ATK,27.0,Crit DMG,14.0,EM,56.0,14.0
Furina,Flower,Marechaussee Hunter,+20,HP,4780.0,ER%,6.5,Crit DMG,21.0,Crit Rate,10.5,HP%,10.5,42.0
Furina,Plume,Golden Troupe,+20,ATK,311.0,HP,299.0,Crit Rate,10.9,HP%,8.7,Crit DMG,23.3,45.1
Furina,Sands,Golden Troupe,+20,HP%,46.6,Crit Rate,10.5,ATK,18.0,HP,299.0,Crit DMG,29.5,50.5
Furina,Goblet,Golden Troupe,+20,HP%,46.6,HP,269.0,Crit DMG,21.0,EM,19.0,Crit Rate,13.2,47.4
Furina,Circlet,Golden Troupe,+20,Crit Rate,31.1,HP%,21.6,Crit DMG,14.8,ER%,5.8,ATK,18.0,14.8
Varesa,Flower,Long Night's Oath,+20,HP,4780.0,Crit Rate,10.5,Crit DMG,21.0,ER%,6.5,ATK%,8.7,42.0
Varesa,Plume,Long Night's Oath,+20,ATK,311.0,HP%,5.3,Crit DMG,21.0,Crit Rate,10.1,EM,16.0,41.2
Varesa,Sands,Long Night's Oath,+20,ATK%,46.6,Crit Rate,11.3,Crit DMG,14.0,DEF,35.0,ATK,35.0,36.6
Varesa,Goblet,Emblem of Severed Fate,+20,Electro DMG%,46.6,Crit Rate,14.0,Crit DMG,7.8,ATK%,9.3,HP,568.0,35.8
Varesa,Circlet,Long Night's Oath,+20,Crit Rate,31.1,DEF,21.0,Crit DMG,19.4,ATK%,16.3,ATK,18.0,19.4
Sayu,Flower,Viridescent Venerer,+20,HP,4780.0,EM,54.0,DEF%,5.8,ER%,11.7,ATK,33.0,0.0
Sayu,Plume,Viridescent Venerer,+20,ATK,311.0,EM,21.0,ER%,23.3,HP,478.0,DEF,19.0,0.0
Sayu,Sands,Viridescent Venerer,+20,EM,187.0,ER%,14.9,Crit DMG,13.2,DEF,44.0,ATK%,4.7,13.2
Sayu,Goblet,Viridescent Venerer,+20,EM,187.0,DEF,37.0,ER%,16.2,HP,299.0,Crit DMG,11.7,11.7
Mavuika,Flower,Obsidian Codex,+20,HP,4780.0,Crit Rate,6.6,Crit DMG,14.8,HP%,10.5,EM,70.0,28.0
Mavuika,Plume,Obsidian Codex,+20,ATK,311.0,ER%,4.5,Crit Rate,5.8,Crit DMG,22.5,EM,37.0,34.1
Mavuika,Sands,Obsidian Codex,+20,EM,187.0,ATK%,9.9,Crit DMG,20.2,HP,299.0,Crit Rate,7.0,34.2
Mavuika,Goblet,Set_15026,+20,Pyro DMG%,46.6,Crit Rate,3.9,DEF,46.0,Crit DMG,27.2,EM,23.0,35.0
Mavuika,Circlet,Obsidian Codex,+20,Crit Rate,31.1,ATK%,16.3,Crit DMG,6.2,EM,33.0,HP%,8.7,6.2
Hu Tao,Flower,Marechaussee Hunter,+20,HP,4780.0,Crit Rate,3.1,Crit DMG,28.0,HP%,4.7,EM,56.0,34.2
Hu Tao,Plume,Marechaussee Hunter,+20,ATK,311.0,Crit DMG,19.4,HP%,14.0,Crit Rate,3.5,EM,37.0,26.4
