Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Yelan,90,27864,1052,583,121,200.7,96.1,136.3,Hydro,46.6,167.9,5
Furina,90,41466,1132,696,19,112.3,100.4,247.7,N/A,0.0,199.8,1
Varesa,90,18713,2518,837,16,106.5,101.2,177.2,Electro,46.6,175.00000000000003,1
Sayu,90,17410,942,888,665,166.1,5.0,74.9,Anemo,15.0,24.9,5
Mavuika,90,20045,1477,838,460,104.5,59.4,179.3,Pyro,46.6,137.5,5
Hu Tao,90,32326,1090,940,298,141.6,33.0,205.0,Pyro,46.6,110.4,5
Escoffier,90,22818,2641,732,0,166.1,84.5,188.4,N/A,0.0,130.70000000000002,1
Citlali,90,18685,1040,866,1019,167.4,27.9,64.0,N/A,0.0,59.8,5
Raiden Shogun,90,18826,1237,957,474,147.5,87.8,179.0,Electro,19.0,177.29999999999998,5
Columbina,90,35728,935,582,120,151.8,83.5,182.9,N/A,0.0,115.7,5
Xilonen,90,12405,729,1807,42,172.3,12.0,62.4,N/A,0.0,26.4,5
ID_10000126,90,19821,1026,3083,120,125.3,64.5,193.3,N/A,0.0,161.79999999999998,2
