Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Yelan,90,27864,1052,583,121,200.7,96.1,136.3,Hydro,46.6,167.9,Emblem of Severed Fate,HP,4780,38.9,Crit DMG:11.7 | ER%:9.1 | Crit Rate:13.6 | EM:21,Emblem of Severed Fate,ATK,311,41.2,Crit DMG:21 | HP:299 | Crit Rate:10.1 | DEF:35,Emblem of Severed Fate,HP%,46.6,40.4,Crit DMG:27.2 | EM:23 | Crit Rate:6.6 | ATK:16,Marechaussee Hunter,Hydro DMG%,46.6,33.4,EM:21 | HP%:11.1 | Crit DMG:12.4 | Crit Rate:10.5,Emblem of Severed Fate,Crit Rate,31.1,14,ER%:10.4 | ATK:27 | Crit DMG:14 | EM:56
Furina,90,41466,1132,696,19,112.3,100.4,247.7,N/A,0.0,199.8,Marechaussee Hunter,HP,4780,42.0,ER%:6.5 | Crit DMG:21 | Crit Rate:10.5 | HP%:10.5,Golden Troupe,ATK,311,45.1,HP:299 | Crit Rate:10.9 | HP%:8.7 | Crit DMG:23.3,Golden Troupe,HP%,46.6,50.5,Crit Rate:10.5 | ATK:18 | HP:299 | Crit DMG:29.5,Golden Troupe,HP%,46.6,47.4,HP:269 | Crit DMG:21 | EM:19 | Crit Rate:13.2,Golden Troupe,Crit Rate,31.1,14.8,HP%:21.6 | Crit DMG:14.8 | ER%:5.8 | ATK:18
Varesa,90,18713,2518,837,16,106.5,101.2,177.2,Electro,46.6,175.00000000000003,Long Night's Oath,HP,4780,42.0,Crit Rate:10.5 | Crit DMG:21 | ER%:6.5 | ATK%:8.7,Long Night's Oath,ATK,311,41.2,HP%:5.3 | Crit DMG:21 | Crit Rate:10.1 | EM:16,Long Night's Oath,ATK%,46.6,36.6,Crit Rate:11.3 | Crit DMG:14 | DEF:35 | ATK:35,Emblem of Severed Fate,Electro DMG%,46.6,35.8,Crit Rate:14 | Crit DMG:7.8 | ATK%:9.3 | HP:568,Long Night's Oath,Crit Rate,31.1,19.4,DEF:21 | Crit DMG:19.4 | ATK%:16.3 | ATK:18
Sayu,90,17410,942,888,665,166.1,5.0,74.9,Anemo,15.0,24.9,Viridescent Venerer,HP,4780,0,EM:54 | DEF%:5.8 | ER%:11.7 | ATK:33,Viridescent Venerer,ATK,311,0,EM:21 | ER%:23.3 | HP:478 | DEF:19,Viridescent Venerer,EM,187.0,13.2,ER%:14.9 | Crit DMG:13.2 | DEF:44 | ATK%:4.7,Viridescent Venerer,EM,187,11.7,DEF:37 | ER%:16.2 | HP:299 | Crit DMG:11.7,,,,,
Mavuika,90,20045,1477,838,460,104.5,59.4,179.3,Pyro,46.6,137.5,Obsidian Codex,HP,4780,28.0,Crit Rate:6.6 | Crit DMG:14.8 | HP%:10.5 | EM:70,Obsidian Codex,ATK,311,34.1,ER%:4.5 | Crit Rate:5.8 | Crit DMG:22.5 | EM:37,Obsidian Codex,EM,187.0,34.2,ATK%:9.9 | Crit DMG:20.2 | HP:299 | Crit Rate:7,Set_15026,Pyro DMG%,46.6,35.0,Crit Rate:3.9 | DEF:46 | Crit DMG:27.2 | EM:23,Obsidian Codex,Crit Rate,31.1,6.2,ATK%:16.3 | Crit DMG:6.2 | EM:33 | HP%:8.7
Hu Tao,90,32326,1090,940,298,141.6,33.0,205.0,Pyro,46.6,110.4,Marechaussee Hunter,HP,4780,34.2,Crit Rate:3.1 | Crit DMG:28 | HP%:4.7 | EM:56,Marechaussee Hunter,ATK,311,26.4,Crit DMG:19.4 | HP%:14 | Crit Rate:3.5 | EM:37,Marechaussee Hunter,EM,187.0,20.2,ATK%:10.5 | DEF%:7.3 | HP%:15.2 | Crit Rate:10.1,Tenacity of the Millelith,Pyro DMG%,46.6,29.6,Crit DMG:7 | ATK:37 | HP%:15.7 | Crit Rate:11.3,Marechaussee Hunter,Crit DMG,62.2,0,EM:19 | ER%:11 | HP:299 | HP%:25.7
Escoffier,90,22818,2641,732,0,166.1,84.5,188.4,N/A,0.0,130.70000000000002,Golden Troupe,HP,4780,41.2,Crit Rate:14 | ER%:4.5 | ATK%:4.7 | Crit DMG:13.2,Golden Troupe,ATK,311,29.6,Crit DMG:21.8 | Crit Rate:3.9 | ER%:9.7 | ATK%:14,Golden Troupe,ATK%,46.6,35.0,Crit Rate:7.4 | HP%:9.3 | ER%:11.7 | Crit DMG:20.2,Golden Troupe,ATK%,46.6,18.7,Crit DMG:10.9 | ER%:16.2 | HP:777 | Crit Rate:3.9,Emblem of Severed Fate,Crit Rate,31.1,6.2,Crit DMG:6.2 | ATK%:11.7 | ATK:14 | ER%:24
Citlali,90,18685,1040,866,1019,167.4,27.9,64.0,N/A,0.0,59.8,Scroll of the Hero of Cinder City,HP,4780,0,ATK:18 | ER%:11 | EM:63 | HP%:15.2,Scroll of the Hero of Cinder City,ATK,311,14,ER%:13 | EM:61 | Crit Rate:7 | DEF:42,Gladiator's Finale,EM,187.0,6.2,DEF%:5.8 | HP:508 | ER%:21.4 | Crit Rate:3.1,Scroll of the Hero of Cinder City,EM,187,12.4,Crit Rate:6.2 | DEF:16 | ATK:62 | ER%:11,Scroll of the Hero of Cinder City,EM,187,27.2,ER%:11 | Crit Rate:6.6 | ATK%:11.7 | Crit DMG:14
Raiden Shogun,90,18826,1237,957,474,147.5,87.8,179.0,Electro,19.0,177.29999999999998,Set_15026,HP,4780,40.4,Crit DMG:12.4 | Crit Rate:14 | ER%:10.4 | ATK%:5.3,Set_15026,ATK,311,42.8,HP:538 | DEF:21 | Crit Rate:14 | Crit DMG:14.8,Set_15026,EM,187.0,28.8,Crit Rate:3.9 | Crit DMG:21 | ATK:35 | DEF%:10.9,Wanderer's Troupe,EM,187,38.9,Crit Rate:10.1 | Crit DMG:18.7 | DEF:19 | ER%:5.2,Set_15026,Crit DMG,62.2,26.4,DEF:42 | HP%:4.7 | EM:21 | Crit Rate:13.2
Columbina,90,35728,935,582,120,151.8,83.5,182.9,N/A,0.0,115.7,Set_15043,HP,4780,23.3,ER%:11 | Crit Rate:6.2 | ATK:39 | Crit DMG:10.9,Set_15043,ATK,311,33.4,Crit DMG:25.6 | HP:508 | Crit Rate:3.9 | ER%:6.5,Set_15043,HP%,46.6,24.0,ATK:19 | Crit DMG:12.4 | Crit Rate:5.8 | ER%:17.5,Golden Troupe,HP%,46.6,35.0,ATK:16 | Crit Rate:6.6 | ER%:16.8 | Crit DMG:21.8,Set_15043,Crit DMG,62.2,0,HP:508 | EM:40 | HP%:10.5 | DEF%:13.1
Xilonen,90,12405,729,1807,42,172.3,12.0,62.4,N/A,0.0,26.4,,,,,,,,,,,Scroll of the Hero of Cinder City,DEF%,58.3,26.4,EM:42 | Crit DMG:12.4 | Crit Rate:7 | ER%:11,,,,,,,,,,
ID_10000126,90,19821,1026,3083,120,125.3,64.5,193.3,N/A,0.0,161.79999999999998,Night of the Sky's Unveiling,HP,4780,32.7,Crit Rate:7.4 | Crit DMG:17.9 | DEF%:7.3 | EM:40,Night of the Sky's Unveiling,ATK,311,39.6,DEF%:7.3 | ER%:5.2 | ATK%:5.3 | Crit Rate:19.8,Night of the Sky's Unveiling,DEF%,58.3,32.6,Crit Rate:9.7 | Crit DMG:13.2 | DEF:19 | HP%:14.6,Emblem of Severed Fate,DEF%,58.3,41.3,DEF:19 | Crit DMG:11.7 | ER%:9.7 | Crit Rate:14.8,Night of the Sky's Unveiling,Crit DMG,62.2,15.6,DEF%:18.2 | Crit Rate:7.8 | HP:239 | ER%:10.4
