Character,Slot,Set,Level,Main_Stat,Main_Value,Sub1,Sub1_Val,Sub2,Sub2_Val,Sub3,Sub3_Val,Sub4,Sub4_Val,Crit_Value
Arlecchino,Flower,Fragment of Harmonic Whimsy,+20,HP,4780.0,Crit DMG,32.6,Crit Rate,7.0,ATK,19.0,ATK%,5.8,46.6
Arlecchino,Plume,Fragment of Harmonic Whimsy,+20,ATK,311.0,Crit DMG,26.4,DEF,39.0,HP,209.0,Crit Rate,6.6,39.6
Arlecchino,Sands,Fragment of Harmonic Whimsy,+20,ATK%,46.6,DEF,19.0,EM,61.0,Crit DMG,13.2,Crit Rate,7.4,28.0
Arlecchino,Goblet,Fragment of Harmonic Whimsy,+20,Pyro DMG%,46.6,Crit Rate,6.6,Crit DMG,21.8,ATK,35.0,DEF,19.0,35.0
Arlecchino,Circlet,Gladiator's Finale,+20,Crit Rate,31.1,HP,299.0,ATK%,5.3,EM,16.0,Crit DMG,38.1,38.1
Columbina,Flower,Finale of the Deep Galleries,+20,HP,4780.0,HP%,5.3,ER%,11.0,Crit Rate,3.9,Crit DMG,28.8,36.6
Columbina,Plume,Silken Moon's Serenade,+20,ATK,311.0,HP,418.0,HP%,11.1,Crit DMG,14.0,Crit Rate,6.2,26.4
Columbina,Sands,Silken Moon's Serenade,+20,ER%,51.8,Crit Rate,2.7,Crit DMG,26.4,HP%,9.3,DEF%,5.1,31.8
Columbina,Goblet,Silken Moon's Serenade,+20,HP%,46.6,Crit DMG,13.2,Crit Rate,7.8,ER%,10.4,EM,33.0,28.8
Columbina,Circlet,Silken Moon's Serenade,+20,Crit Rate,31.1,Crit DMG,21.0,ER%,11.7,HP,538.0,DEF%,5.1,21.0
Yelan,Flower,Emblem of Severed Fate,+20,HP,4780.0,DEF,37.0,Crit DMG,19.4,HP%,4.7,Crit Rate,9.7,38.8
Yelan,Plume,Emblem of Severed Fate,+20,ATK,311.0,Crit DMG,7.0,ER%,11.0,EM,16.0,Crit Rate,14.8,36.6
Yelan,Sands,Emblem of Severed Fate,+20,HP%,46.6,Crit Rate,9.3,Crit DMG,11.7,ER%,11.7,HP,209.0,30.3
Yelan,Goblet,Song of Days Past,+20,Hydro DMG%,46.6,Crit Rate,8.6,Crit DMG,26.4,DEF,21.0,ATK,14.0,43.6
Yelan,Circlet,Emblem of Severed Fate,+20,Crit DMG,62.2,HP%,9.3,Crit Rate,7.0,ATK,35.0,ER%,12.3,14.0
Furina,Flower,Golden Troupe,+20,HP,4780.0,HP%,4.1,Crit DMG,34.2,EM,23.0,ER%,10.4,34.2
Furina,Plume,Golden Troupe,+20,ATK,311.0,Crit DMG,19.4,DEF,46.0,HP,209.0,Crit Rate,10.1,39.6
Furina,Sands,Golden Troupe,+20,HP%,46.6,Crit DMG,17.1,ER%,16.2,ATK%,4.7,HP,239.0,17.1
