Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Columbina,90,35507,987,595,58,212.0,48.7,192.2,N/A,0.0,128.9,2
Lauma,90,16808,1269,874,977,193.9,14.3,95.1,Dendro,15.0,63.7,5
Keqing,70,18601,812,676,34,108.3,48.4,89.4,Electro,49.8,60.599999999999994,1
Mona,70,14011,401,576,58,193.9,20.2,75.7,Hydro,38.8,46.6,5
Yanfei,70,12916,358,620,0,128.5,13.5,125.4,Pyro,12.0,30.200000000000003,1
Fischl,80,18827,1412,635,121,122.7,57.8,169.5,Electro,46.6,102.5,1
Xingqiu,70,15435,1233,702,79,225.5,40.9,78.0,Hydro,66.6,48.2,3
Nefer,90,19484,1338,840,656,105.8,67.8,301.8,N/A,0.0,172.5,1
Escoffier,90,19258,1939,910,142,155.9,42.5,158.0,Cryo,46.6,82.39999999999999,5
Furina,90,33559,1144,981,0,213.9,54.9,160.4,N/A,0.0,109.60000000000001,1
Hu Tao,90,28685,968,942,110,122.0,68.5,209.6,Pyro,61.6,139.0,3
Skirk,90,17913,2139,904,42,115.5,70.2,225.2,Cryo,61.6,161.0,1
