Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Columbina,90,35507,987,595,58,212.0,48.7,192.2,N/A,0.0,128.9,Silken Moon's Serenade,HP,4780,33.4,DEF:23 | Crit DMG:21.8 | Crit Rate:5.8 | ER%:5.8,Silken Moon's Serenade,ATK,311,27.2,ER%:17.5 | Crit Rate:3.5 | Crit DMG:20.2 | EM:21,Noblesse Oblige,ER%,51.8,23.3,HP%:17.5 | Crit DMG:17.9 | DEF%:6.6 | Crit Rate:2.7,Silken Moon's Serenade,HP%,46.6,32.6,Crit Rate:6.2 | HP:538 | Crit DMG:20.2 | DEF:23,Silken Moon's Serenade,Crit DMG,62.2,12.4,EM:37 | Crit Rate:6.2 | ER%:16.8 | ATK%:11.7
Lauma,90,16808,1269,874,977,193.9,14.3,95.1,Dendro,15.0,63.7,Deepwood Memories,HP,4780,31.9,Crit Rate:3.5 | Crit DMG:24.9 | DEF%:6.6 | EM:40,Deepwood Memories,ATK,311,6.2,EM:63 | HP:598 | Crit Rate:3.1 | ER%:11.7,Deepwood Memories,EM,187.0,5.4,Crit Rate:2.7 | ER%:10.4 | ATK%:16.9 | HP:538,Silken Moon's Serenade,EM,187.0,20.2,Crit DMG:20.2 | HP:239 | DEF%:12.4 | ER%:9.7,Deepwood Memories,EM,187.0,0.0,ATK%:5.8 | ER%:16.2 | DEF:79 | ATK:19
Keqing,70,18601,812,676,34,108.3,48.4,89.4,Electro,49.8,60.599999999999994,Thundering Fury,HP,4780,25.6,HP%:11.1 | Crit Rate:2.7 | Crit DMG:20.2 | ATK%:15.7,Thundering Fury,ATK,311,27.2,EM:21 | Crit Rate:13.6 | DEF:44 | ATK%:11.1,Thundering Fury,ATK%,30.8,7.8,Crit Rate:3.9 | HP%:15.8 | DEF:21 | ATK:16,Marechaussee Hunter,Electro DMG%,34.8,0.0,ATK%:7.9 | EM:13 | HP:191 | HP%:7.5,Thundering Fury,Crit Rate,23.2,0.0,ER%:8.3 | ATK:16 | ATK%:8.4 | HP:167
Mona,70,14011,401,576,58,193.9,20.2,75.7,Hydro,38.8,46.6,Marechaussee Hunter,HP,4780,27.2,ER%:10.4 | Crit Rate:7.4 | Crit DMG:12.4 | DEF:39,Emblem of Severed Fate,ATK,47,5.4,ER%:4.5 | DEF:21 | Crit DMG:5.4,Emblem of Severed Fate,ER%,43.0,0.0,HP:239 | EM:40 | ATK:16 | ATK%:14.6,Emblem of Severed Fate,ATK%,7.0,14.0,EM:19 | Crit Rate:3.1 | Crit DMG:7.8,Emblem of Severed Fate,Crit Rate,4.7,0.0,HP%:5.3 | DEF:16 | ATK:14 | ATK%:4.1
Yanfei,70,12916,358,620,0,128.5,13.5,125.4,Pyro,12.0,30.200000000000003,Maiden Beloved,HP,2342,5.4,HP%:4.1 | Crit DMG:5.4 | ER%:13 | DEF:16,Maiden Beloved,ATK,137,0.0,HP%:3.7 | ER%:5.2 | HP:167 | DEF%:5.8,Night of the Sky's Unveiling,HP%,7.0,5.4,Crit Rate:2.7 | DEF:19 | ER%:4.5,Maiden Beloved,HP%,18.9,7.8,HP:209 | Crit DMG:7.8 | DEF:16 | ER%:5.8,Maiden Beloved,Crit DMG,62.2,11.6,HP:538 | ATK%:5.8 | Crit Rate:5.8 | DEF%:19.7
Fischl,80,18827,1412,635,121,122.7,57.8,169.5,Electro,46.6,102.5,Golden Troupe,HP,4780,25.6,ATK%:9.9 | Crit Rate:10.1 | EM:65 | Crit DMG:5.4,Golden Troupe,ATK,258,18.6,Crit DMG:13.2 | HP%:8.2 | EM:37 | Crit Rate:2.7,Golden Troupe,HP%,46.6,38.9,HP:209 | Crit Rate:10.1 | Crit DMG:18.7 | DEF:19,Golden Troupe,Electro DMG%,46.6,19.4,ER%:11.7 | Crit Rate:9.7 | HP%:15.2 | EM:19,Night of the Sky's Unveiling,Crit DMG,62.2,0.0,DEF%:13.1 | ATK%:15.2 | DEF:21 | ER%:11
Xingqiu,70,15435,1233,702,79,225.5,40.9,78.0,Hydro,66.6,48.2,Emblem of Severed Fate,HP,4780,14.8,ATK:14 | HP%:11.1 | Crit Rate:7.4 | ER%:16.2,Emblem of Severed Fate,ATK,311,13.2,DEF:44 | EM:37 | ER%:10.4 | Crit DMG:13.2,Emblem of Severed Fate,ATK%,46.6,5.4,Crit Rate:2.7 | ER%:10.4 | DEF%:12.4 | ATK:49,Gladiator's Finale,Hydro DMG%,46.6,14.8,Crit DMG:14.8 | ER%:11.7 | HP%:15.2 | ATK%:9.3,Emblem of Severed Fate,Crit Rate,25.8,0.0,EM:42 | ER%:6.5 | HP:687 | ATK:16
Nefer,90,19484,1338,840,656,105.8,67.8,301.8,N/A,0.0,172.5,Night of the Sky's Unveiling,HP,4780,39.6,HP%:9.9 | Crit DMG:21 | EM:21 | Crit Rate:9.3,Night of the Sky's Unveiling,ATK,311,31.9,Crit Rate:6.6 | Crit DMG:18.7 | EM:40 | ER%:5.8,Night of the Sky's Unveiling,EM,187.0,44.3,Crit Rate:16.3 | Crit DMG:11.7 | ATK%:5.8 | ATK:19,Night of the Sky's Unveiling,EM,187.0,31.1,ATK:35 | Crit DMG:11.7 | DEF%:5.1 | Crit Rate:9.7,Marechaussee Hunter,Crit DMG,62.2,25.6,HP%:5.8 | EM:42 | Crit Rate:12.8 | ATK:35
Escoffier,90,19258,1939,910,142,155.9,42.5,158.0,Cryo,46.6,82.39999999999999,Golden Troupe,HP,4780,26.4,Crit Rate:7 | ER%:9.1 | Crit DMG:12.4 | DEF%:10.9,Golden Troupe,ATK,311,24.2,DEF%:5.8 | Crit DMG:7 | Crit Rate:8.6 | EM:61,Golden Troupe,ATK%,46.6,5.4,Crit Rate:2.7 | ATK:16 | ER%:16.2 | EM:61,Thundering Fury,Cryo DMG%,46.6,26.4,Crit DMG:26.4 | ATK%:9.9 | HP%:4.7 | DEF%:5.1,Golden Troupe,Crit DMG,62.2,0.0,HP:508 | ATK%:20.4 | EM:21 | DEF:19
Furina,90,33559,1144,981,0,213.9,54.9,160.4,N/A,0.0,109.60000000000001,Golden Troupe,HP,4780,25.7,HP%:13.4 | Crit Rate:3.9 | ATK%:5.3 | Crit DMG:17.9,Golden Troupe,ATK,311,13.2,HP%:13.4 | Crit Rate:6.6 | ER%:11.7 | DEF%:10.9,Golden Troupe,ER%,51.8,31.9,Crit Rate:7 | Crit DMG:17.9 | DEF:42 | ATK%:5.3,Lavawalker's Epiphany,HP%,46.6,32.6,Crit Rate:10.1 | ER%:4.5 | DEF%:11.7 | Crit DMG:12.4,Golden Troupe,Crit DMG,62.2,6.2,Crit Rate:3.1 | HP%:9.3 | DEF%:12.4 | HP:807
