Character,Slot,Set,Level,Main_Stat,Main_Value,Sub1,Sub1_Val,Sub2,Sub2_Val,Sub3,Sub3_Val,Sub4,Sub4_Val,Crit_Value
Mavuika,Flower,Obsidian Codex,+20,HP,4780.0,EM,23.0,ATK,29.0,DEF,21.0,Crit DMG,35.7,35.7
Mavuika,Plume,Noblesse Oblige,+20,ATK,311.0,ATK%,9.3,Crit DMG,27.2,Crit Rate,2.7,EM,40,32.6
Mavuika,Sands,Obsidian Codex,+20,EM,187.0,HP,299.0,Crit DMG,14.0,Crit Rate,13.6,ATK,14,41.2
Mavuika,Goblet,Obsidian Codex,+20,Pyro DMG%,46.6,Crit Rate,13.2,Crit DMG,14.0,EM,19.0,ER%,6.5,40.4
Mavuika,Circlet,Obsidian Codex,+20,Crit DMG,62.2,ATK%,5.3,Crit Rate,15.2,ER%,9.1,HP,239,30.4
Citlali,Flower,Set_10007,+16,HP,3571.0,HP%,3.3,ATK,30.0,Crit DMG,4.4,ER%,12.4,4.4
Citlali,Plume,Set_10007,+16,ATK,232.0,EM,15.0,ER%,9.8,DEF,50.0,DEF%,4.1,0.0
Citlali,Sands,Set_10007,+16,ER%,38.7,Crit Rate,5.3,ATK%,7.9,ATK,28.0,HP%,3.7,10.6
Citlali,Goblet,Scroll of the Hero of Cinder City,+20,EM,187.0,ER%,14.9,HP,717.0,Crit Rate,7.4,DEF,21,14.8
Citlali,Circlet,Set_10007,+16,DEF%,43.5,ATK,26.0,Crit Rate,5.3,ER%,10.4,HP,167,10.6
Xilonen,Flower,Scroll of the Hero of Cinder City,+20,HP,4780.0,Crit Rate,12.4,DEF%,11.7,Crit DMG,6.2,ATK,14,31.0
Xilonen,Plume,Scroll of the Hero of Cinder City,+0,ATK,47.0,EM,16.0,DEF%,6.6,Crit Rate,3.9,,,7.8
Xilonen,Sands,Scroll of the Hero of Cinder City,+20,ER%,51.8,Crit DMG,11.7,DEF%,12.4,EM,23.0,ATK,49,11.7
Xilonen,Goblet,Scroll of the Hero of Cinder City,+20,DEF%,58.3,ER%,15.5,Crit DMG,13.2,Crit Rate,6.2,HP%,4.7,25.6
Xilonen,Circlet,Scroll of the Hero of Cinder City,+20,DEF%,58.3,ER%,12.3,EM,37.0,Crit Rate,3.9,ATK,64,7.8
Bennett,Flower,Bloodstained Chivalry,+20,HP,4780.0,Crit DMG,7.0,ER%,17.5,Crit Rate,6.6,EM,35,20.2
Bennett,Plume,Bloodstained Chivalry,+20,ATK,311.0,Crit Rate,3.5,DEF,37.0,HP,448.0,ER%,23.3,7.0
Bennett,Sands,Bloodstained Chivalry,+20,ER%,51.8,DEF%,19.0,ATK%,10.5,ATK,14.0,DEF,44,0.0
Bennett,Goblet,Emblem of Severed Fate,+20,HP%,46.6,DEF,19.0,ER%,14.9,Crit DMG,12.4,Crit Rate,7.4,27.2
Bennett,Circlet,Bloodstained Chivalry,+20,Crit DMG,62.2,HP,478.0,HP%,4.1,ER%,22.7,Crit Rate,3.1,6.2
Varesa,Flower,Set_15039,+20,HP,4780.0,HP%,9.9,Crit Rate,6.6,Crit DMG,21.0,ATK,31,34.2
Varesa,Plume,Obsidian Codex,+20,ATK,311.0,DEF%,7.3,HP,269.0,Crit Rate,14.8,Crit DMG,12.4,42.0
Varesa,Sands,Set_15039,+20,ATK%,46.6,ER%,12.3,ATK,18.0,Crit Rate,14.4,Crit DMG,11.7,40.5
