Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Mavuika,90,17870,1613,812,268,115.5,60.7,241.5,Pyro,46.6,180.3,1
Citlali,90,20636,836,1197,397,186.2,23.0,54.4,N/A,0.0,40.4,5
Xilonen,90,17763,990,3403,77,179.6,31.4,81.1,N/A,0.0,83.89999999999999,1
Bennett,90,24387,1454,1017,35,256.8,25.6,131.6,N/A,0.0,60.6,1
Varesa,90,20265,2370,859,0,116.8,82.5,201.4,Electro,46.6,161.70000000000002,1
Iansan,80,15237,2444,829,65,175.1,28.7,139.3,N/A,0.0,81.6,1
Durin,90,18949,2132,873,0,208.9,56.4,178.5,Pyro,46.6,122.8,1
Chevreuse,80,38347,1208,684,42,172.7,21.7,93.5,N/A,0.0,76.9,5
Skirk,90,18552,2157,988,0,111.0,80.3,232.2,Cryo,61.6,187.89999999999998,1
Escoffier,90,20396,1886,845,33,202.5,51.8,131.6,Cryo,46.6,74.7,5
Furina,90,38101,1046,798,58,197.5,72.4,175.1,N/A,0.0,159.4,5
Arlecchino,90,21729,2237,948,19,100.0,73.0,254.0,Pyro,46.6,173.3,1
