Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Mavuika,90,17870,1613,812,268,115.5,60.7,241.5,Pyro,46.6,180.3,Obsidian Codex,HP,4780,35.7,EM:23 | ATK:29 | DEF:21 | Crit DMG:35.7,Noblesse Oblige,ATK,311,32.6,ATK%:9.3 | Crit DMG:27.2 | Crit Rate:2.7 | EM:40,Obsidian Codex,EM,187.0,41.2,HP:299 | Crit DMG:14 | Crit Rate:13.6 | ATK:14,Obsidian Codex,Pyro DMG%,46.6,40.4,Crit Rate:13.2 | Crit DMG:14 | EM:19 | ER%:6.5,Obsidian Codex,Crit DMG,62.2,30.4,ATK%:5.3 | Crit Rate:15.2 | ER%:9.1 | HP:239
Citlali,90,20636,836,1197,397,186.2,23.0,54.4,N/A,0.0,40.4,Set_10007,HP,3571,4.4,HP%:3.3 | ATK:30 | Crit DMG:4.4 | ER%:12.4,Set_10007,ATK,232,0.0,EM:15 | ER%:9.8 | DEF:50 | DEF%:4.1,Set_10007,ER%,38.7,10.6,Crit Rate:5.3 | ATK%:7.9 | ATK:28 | HP%:3.7,Scroll of the Hero of Cinder City,EM,187.0,14.8,ER%:14.9 | HP:717 | Crit Rate:7.4 | DEF:21,Set_10007,DEF%,43.5,10.6,ATK:26 | Crit Rate:5.3 | ER%:10.4 | HP:167
Xilonen,90,17763,990,3403,77,179.6,31.4,81.1,N/A,0.0,83.89999999999999,Scroll of the Hero of Cinder City,HP,4780,31.0,Crit Rate:12.4 | DEF%:11.7 | Crit DMG:6.2 | ATK:14,Scroll of the Hero of Cinder City,ATK,47,7.8,EM:16 | DEF%:6.6 | Crit Rate:3.9,Scroll of the Hero of Cinder City,ER%,51.8,11.7,Crit DMG:11.7 | DEF%:12.4 | EM:23 | ATK:49,Scroll of the Hero of Cinder City,DEF%,58.3,25.6,ER%:15.5 | Crit DMG:13.2 | Crit Rate:6.2 | HP%:4.7,Scroll of the Hero of Cinder City,DEF%,58.3,7.8,ER%:12.3 | EM:37 | Crit Rate:3.9 | ATK:64
Bennett,90,24387,1454,1017,35,256.8,25.6,131.6,N/A,0.0,60.6,Bloodstained Chivalry,HP,4780,20.2,Crit DMG:7 | ER%:17.5 | Crit Rate:6.6 | EM:35,Bloodstained Chivalry,ATK,311,7.0,Crit Rate:3.5 | DEF:37 | HP:448 | ER%:23.3,Bloodstained Chivalry,ER%,51.8,0.0,DEF%:19 | ATK%:10.5 | ATK:14 | DEF:44,Emblem of Severed Fate,HP%,46.6,27.2,DEF:19 | ER%:14.9 | Crit DMG:12.4 | Crit Rate:7.4,Bloodstained Chivalry,Crit DMG,62.2,6.2,HP:478 | HP%:4.1 | ER%:22.7 | Crit Rate:3.1
Varesa,90,20265,2370,859,0,116.8,82.5,201.4,Electro,46.6,161.70000000000002,Set_15039,HP,4780,34.2,HP%:9.9 | Crit Rate:6.6 | Crit DMG:21 | ATK:31,Obsidian Codex,ATK,311,42.0,DEF%:7.3 | HP:269 | Crit Rate:14.8 | Crit DMG:12.4,Set_15039,ATK%,46.6,40.5,ER%:12.3 | ATK:18 | Crit Rate:14.4 | Crit DMG:11.7,Set_15039,Electro DMG%,46.6,27.2,ATK:18 | Crit Rate:13.6 | ER%:4.5 | HP%:9.9,Set_15039,Crit DMG,62.2,17.8,ATK%:15.8 | Crit Rate:8.9 | DEF:21 | ATK:31
Iansan,80,15237,2444,829,65,175.1,28.7,139.3,N/A,0.0,81.6,Scroll of the Hero of Cinder City,HP,4780,10.8,ER%:17.5 | ATK%:11.7 | Crit Rate:5.4 | EM:23,Scroll of the Hero of Cinder City,ATK,311,19.4,Crit Rate:3.1 | ER%:16.2 | Crit DMG:13.2 | ATK%:9.3,Scroll of the Hero of Cinder City,ATK%,46.6,13.2,ER%:11.7 | DEF:23 | Crit DMG:13.2 | DEF%:24.8,Marechaussee Hunter,ATK%,46.6,38.2,Crit Rate:15.2 | ER%:5.8 | Crit DMG:7.8 | HP:239,Scroll of the Hero of Cinder City,ATK%,46.6,0.0,DEF%:10.9 | ER%:24 | EM:42 | HP:299
Durin,90,18949,2132,873,0,208.9,56.4,178.5,Pyro,46.6,122.8,Scroll of the Hero of Cinder City,HP,4780,14.8,DEF:32 | ER%:19.4 | Crit DMG:14.8 | ATK%:11.7,Bloodstained Chivalry,ATK,311,39.7,ATK%:5.3 | ER%:6.5 | Crit DMG:24.9 | Crit Rate:7.4,Gladiator's Finale,ATK%,46.6,15.5,Crit DMG:15.5 | HP%:9.9 | ER%:17.5 | ATK:16,Bloodstained Chivalry,Pyro DMG%,46.6,31.0,ATK:33 | Crit DMG:13.2 | Crit Rate:8.9 | ATK%:4.1,Gladiator's Finale,Crit Rate,31.1,21.8,Crit DMG:21.8 | DEF:19 | HP:508 | ER%:10.4
Chevreuse,80,38347,1208,684,42,172.7,21.7,93.5,N/A,0.0,76.9,Bloodstained Chivalry,HP,4780,26.4,Crit Rate:6.6 | HP%:9.3 | Crit DMG:13.2 | DEF:53,Bloodstained Chivalry,ATK,311,10.9,HP%:19.2 | ER%:5.8 | Crit DMG:10.9 | ATK%:10.5,Bloodstained Chivalry,HP%,46.6,7.0,EM:42 | Crit Rate:3.5 | DEF:35 | ER%:14.2,Scroll of the Hero of Cinder City,HP%,46.6,32.6,Crit Rate:6.6 | HP:209 | Crit DMG:19.4 | ER%:11,Bloodstained Chivalry,HP%,46.6,0.0,ATK%:9.9 | HP:807 | DEF%:5.8 | ER%:11
Skirk,90,18552,2157,988,0,111.0,80.3,232.2,Cryo,61.6,187.89999999999998,Finale of the deep galeries,HP,4780,38.8,ER%:4.5 | Crit Rate:13.2 | HP%:4.1 | Crit DMG:12.4,Pale Flame,ATK,311,39.6,Crit DMG:21 | Crit Rate:9.3 | DEF:19 | ATK%:11.1,Finale of the deep galeries,ATK%,46.6,45.8,DEF:16 | ER%:6.5 | Crit DMG:12.4 | Crit Rate:16.7,Finale of the deep galeries,Cryo DMG%,46.6,50.5,Crit Rate:7.4 | Crit DMG:35.7 | HP:269 | ATK%:5.3,Finale of the deep galeries,Crit DMG,62.2,13.2,ATK%:15.7 | Crit Rate:6.6 | DEF%:18.2 | HP%:4.7
Escoffier,90,20396,1886,845,33,202.5,51.8,131.6,Cryo,46.6,74.7,Golden Troupe,HP,4780,14.0,ATK%:15.7 | Crit Rate:7 | DEF%:12.4 | ER%:6.5,Golden Troupe,ATK,311,21.0,ATK%:4.7 | ER%:22 | Crit DMG:7.8 | Crit Rate:6.6,Golden Troupe,ATK%,46.6,11.7,Crit DMG:11.7 | DEF:23 | EM:33 | ER%:16.2,Obsidian Codex,Cryo DMG%,46.6,14.0,ER%:16.2 | ATK:37 | HP%:10.5 | Crit Rate:7,Golden Troupe,Crit DMG,62.2,14.0,ATK:16 | ER%:11 | HP:866 | Crit Rate:7
Furina,90,38101,1046,798,58,197.5,72.4,175.1,N/A,0.0,159.4,Golden Troupe,HP,4780,35.0,HP%:9.9 | Crit DMG:12.4 | Crit Rate:11.3 | ER%:5.2,Golden Troupe,ATK,311,29.6,Crit Rate:3.9 | Crit DMG:21.8 | ER%:5.8 | EM:58,Golden Troupe,HP%,46.6,42.0,Crit DMG:14.8 | Crit Rate:13.6 | ATK:37 | DEF%:7.3,Golden Troupe,HP%,46.6,31.8,ER%:13 | DEF%:5.1 | Crit Rate:8.9 | Crit DMG:14,Lavawalker,Crit DMG,62.2,21.0,DEF:16 | Crit Rate:10.5 | ER%:12.3 | HP%:14.6
