Character,Slot,Set,Level,Main_Stat,Main_Value,Sub1,Sub1_Val,Sub2,Sub2_Val,Sub3,Sub3_Val,Sub4,Sub4_Val,Crit_Value
Mualani,Flower,Obsidian Codex,+20,HP,4780.0,HP%,15.2,DEF,23.0,Crit Rate,6.6,Crit DMG,19.4,32.6
Mualani,Plume,Obsidian Codex,+20,ATK,311.0,HP%,8.7,EM,79.0,Crit DMG,6.2,DEF%,5.8,6.2
Mualani,Sands,Obsidian Codex,+20,EM,187.0,Crit DMG,15.5,Crit Rate,10.1,HP%,11.1,HP,239.0,35.7
Mualani,Goblet,Obsidian Codex,+20,Hydro DMG%,46.6,Crit Rate,7.0,Crit DMG,5.4,ATK,16.0,HP%,25.7,19.4
Mualani,Circlet,Obsidian Codex,+20,Crit DMG,62.2,EM,40.0,ATK%,5.8,DEF%,13.1,HP%,15.7,0.0
Dahlia,Flower,Obsidian Codex,+20,HP,4780.0,ATK%,4.7,Crit DMG,20.2,HP%,4.1,EM,75.0,20.2
Dahlia,Plume,Obsidian Codex,+20,ATK,311.0,EM,16.0,Crit DMG,28.0,ATK%,4.1,DEF,53.0,28.0
Dahlia,Goblet,Obsidian Codex,+20,Dendro DMG%,46.6,EM,19.0,Crit DMG,13.2,ATK%,9.3,Crit Rate,12.8,38.8
Dahlia,Circlet,Obsidian Codex,+20,Crit Rate,31.1,DEF,39.0,HP,508.0,ATK%,9.9,Crit DMG,19.4,19.4
Ororon,Flower,Obsidian Codex,+20,HP,4780.0,Crit DMG,38.9,ER%,5.2,EM,21.0,ATK,18.0,38.9
Ororon,Plume,Obsidian Codex,+20,ATK,311.0,EM,42.0,Crit Rate,9.3,ER%,5.2,Crit DMG,14.8,33.4
Ororon,Sands,Obsidian Codex,+20,HP%,46.6,Crit DMG,19.4,EM,47.0,ATK%,9.3,ATK,33.0,19.4
Ororon,Goblet,Scroll of the Hero of Cinder City,+20,Hydro DMG%,46.6,EM,35.0,DEF,46.0,Crit DMG,20.2,HP%,5.8,20.2
Ororon,Circlet,Obsidian Codex,+20,Crit DMG,62.2,Crit Rate,3.1,DEF,21.0,ATK,29.0,ATK%,19.2,6.2
Kirara,Plume,Obsidian Codex,+20,ATK,311.0,HP,299.0,Crit DMG,21.0,HP%,9.3,Crit Rate,5.4,31.8
Kirara,Sands,Scroll of the Hero of Cinder City,+20,HP%,46.6,HP,538.0,EM,63.0,DEF,16.0,Crit DMG,21.8,21.8
Kirara,Goblet,Obsidian Codex,+20,HP%,46.6,HP,508.0,Crit Rate,7.4,Crit DMG,20.2,ER%,4.5,35.0
Kirara,Circlet,Obsidian Codex,+20,HP%,46.6,Crit Rate,6.2,HP,209.0,Crit DMG,21.8,EM,37.0,34.2
Charlotte,Flower,Obsidian Codex,+20,HP,4780.0,Crit Rate,9.3,DEF%,11.7,EM,42.0,Crit DMG,14.8,33.4
Charlotte,Plume,Obsidian Codex,+20,ATK,311.0,HP%,9.3,Crit DMG,13.2,DEF%,6.6,EM,58.0,13.2
Charlotte,Circlet,Heart of Depth,+20,Crit DMG,62.2,DEF,42.0,Crit Rate,3.1,HP,747.0,ATK%,10.5,6.2
Lan Yan,Flower,Scroll of the Hero of Cinder City,+20,HP,4780.0,Crit Rate,3.9,DEF%,13.9,Crit DMG,29.5,HP%,4.7,37.3
Lan Yan,Plume,Thundersoother,+0,ATK,47.0,HP,269.0,EM,21.0,Crit DMG,5.4,ER%,6.5,5.4
Lan Yan,Circlet,Thundersoother,+0,Crit DMG,9.3,ATK%,5.8,Crit Rate,3.9,EM,19.0,ATK,19.0,7.8
Ningguang,Flower,Viridescent Venerer,+20,HP,4780.0,Crit Rate,3.1,HP%,5.8,ER%,5.8,Crit DMG,33.4,39.6
Ningguang,Plume,Obsidian Codex,+20,ATK,311.0,DEF,35.0,Crit DMG,28.0,HP,299.0,Crit Rate,3.9,35.8
Ningguang,Sands,Nymph's Dream,+20,ATK%,46.6,Crit DMG,30.3,Crit Rate,6.6,ER%,5.2,HP,209.0,43.5
Qiqi,Flower,Obsidian Codex,+20,HP,4780.0,ATK%,12.2,ER%,15.5,Crit Rate,2.7,Crit DMG,14.0,19.4
Qiqi,Plume,Obsidian Codex,+20,ATK,311.0,ER%,18.1,EM,44.0,Crit DMG,14.0,HP%,4.7,14.0
Jean,Plume,Obsidian Codex,+20,ATK,311.0,Crit Rate,6.6,HP%,10.5,Crit DMG,14.8,ER%,11.0,28.0
Yumemizuki Mizuki,Flower,Scroll of the Hero of Cinder City,+20,HP,4780.0,ATK,16.0,ATK%,10.5,Crit DMG,21.0,Crit Rate,6.2,33.4
Yumemizuki Mizuki,Plume,Obsidian Codex,+20,ATK,311.0,Crit DMG,27.2,HP%,5.8,EM,44.0,HP,239.0,27.2
Kachina,Plume,Obsidian Codex,+20,ATK,311.0,HP,508.0,Crit Rate,10.5,ATK%,4.1,HP%,10.5,21.0
