Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Mualani,90,31799,1058,701,305,100.0,47.9,213.9,Hydro,46.6,93.9,2
Dahlia,1,6379,361,140,110,100.0,48.9,130.8,Dendro,46.6,106.4,1
Ororon,1,5961,447,116,145,110.4,17.4,205.4,Hydro,46.6,118.1,1
Kirara,1,4098,353,62,100,104.5,24.0,134.7,N/A,0.0,122.8,1
Charlotte,1,6514,353,96,100,100.0,17.4,140.2,N/A,0.0,52.8,1
Lan Yan,1,5860,113,55,120,106.5,12.8,94.3,N/A,0.0,50.49999999999999,1
Ningguang,1,6156,371,83,0,111.0,18.6,141.7,N/A,0.0,118.9,1
Qiqi,1,5788,362,72,44,133.7,7.7,78.0,N/A,0.0,33.4,1
Jean,1,1264,353,60,0,111.0,11.6,64.8,N/A,0.0,28.0,1
Yumemizuki Mizuki,1,6068,371,59,44,100.0,11.2,98.2,N/A,0.0,60.599999999999994,1
Kachina,3,1781,377,86,0,100.0,15.5,50.0,N/A,0.0,21.0,1
