Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Mualani,90,31799,1058,701,305,100.0,47.9,213.9,Hydro,46.6,93.9,Obsidian Codex,HP,4780,32.6,HP%:15.2 | DEF:23 | Crit Rate:6.6 | Crit DMG:19.4,Obsidian Codex,ATK,311,6.2,HP%:8.7 | EM:79 | Crit DMG:6.2 | DEF%:5.8,Obsidian Codex,EM,187,35.7,Crit DMG:15.5 | Crit Rate:10.1 | HP%:11.1 | HP:239,Obsidian Codex,Hydro DMG%,46.6,19.4,Crit Rate:7 | Crit DMG:5.4 | ATK:16 | HP%:25.7,Obsidian Codex,Crit DMG,62.2,0,EM:40 | ATK%:5.8 | DEF%:13.1 | HP%:15.7
Dahlia,1,6379,361,140,110,100.0,48.9,130.8,Dendro,46.6,106.4,Obsidian Codex,HP,4780,20.2,ATK%:4.7 | Crit DMG:20.2 | HP%:4.1 | EM:75,Obsidian Codex,ATK,311,28.0,EM:16 | Crit DMG:28 | ATK%:4.1 | DEF:53,,,,,,Obsidian Codex,Dendro DMG%,46.6,38.8,EM:19 | Crit DMG:13.2 | ATK%:9.3 | Crit Rate:12.8,Obsidian Codex,Crit Rate,31.1,19.4,DEF:39 | HP:508 | ATK%:9.9 | Crit DMG:19.4
Ororon,1,5961,447,116,145,110.4,17.4,205.4,Hydro,46.6,118.1,Obsidian Codex,HP,4780,38.9,Crit DMG:38.9 | ER%:5.2 | EM:21 | ATK:18,Obsidian Codex,ATK,311,33.4,EM:42 | Crit Rate:9.3 | ER%:5.2 | Crit DMG:14.8,Obsidian Codex,HP%,46.6,19.4,Crit DMG:19.4 | EM:47 | ATK%:9.3 | ATK:33,Scroll of the Hero of Cinder City,Hydro DMG%,46.6,20.2,EM:35 | DEF:46 | Crit DMG:20.2 | HP%:5.8,Obsidian Codex,Crit DMG,62.2,6.2,Crit Rate:3.1 | DEF:21 | ATK:29 | ATK%:19.2
Kirara,1,4098,353,62,100,104.5,24.0,134.7,N/A,0.0,122.8,,,,,,Obsidian Codex,ATK,311,31.8,HP:299 | Crit DMG:21 | HP%:9.3 | Crit Rate:5.4,Scroll of the Hero of Cinder City,HP%,46.6,21.8,HP:538 | EM:63 | DEF:16 | Crit DMG:21.8,Obsidian Codex,HP%,46.6,35.0,HP:508 | Crit Rate:7.4 | Crit DMG:20.2 | ER%:4.5,Obsidian Codex,HP%,46.6,34.2,Crit Rate:6.2 | HP:209 | Crit DMG:21.8 | EM:37
Charlotte,1,6514,353,96,100,100.0,17.4,140.2,N/A,0.0,52.8,Obsidian Codex,HP,4780,33.4,Crit Rate:9.3 | DEF%:11.7 | EM:42 | Crit DMG:14.8,Obsidian Codex,ATK,311,13.2,HP%:9.3 | Crit DMG:13.2 | DEF%:6.6 | EM:58,,,,,,,,,,,Heart of Depth,Crit DMG,62.2,6.2,DEF:42 | Crit Rate:3.1 | HP:747 | ATK%:10.5
Lan Yan,1,5860,113,55,120,106.5,12.8,94.3,N/A,0.0,50.49999999999999,Scroll of the Hero of Cinder City,HP,4780,37.3,Crit Rate:3.9 | DEF%:13.9 | Crit DMG:29.5 | HP%:4.7,Thundersoother,ATK,47,5.4,HP:269 | EM:21 | Crit DMG:5.4 | ER%:6.5,,,,,,,,,,,Thundersoother,Crit DMG,9.3,7.8,ATK%:5.8 | Crit Rate:3.9 | EM:19 | ATK:19
Ningguang,1,6156,371,83,0,111.0,18.6,141.7,N/A,0.0,118.9,Viridescent Venerer,HP,4780,39.6,Crit Rate:3.1 | HP%:5.8 | ER%:5.8 | Crit DMG:33.4,Obsidian Codex,ATK,311,35.8,DEF:35 | Crit DMG:28 | HP:299 | Crit Rate:3.9,Nymph's Dream,ATK%,46.6,43.5,Crit DMG:30.3 | Crit Rate:6.6 | ER%:5.2 | HP:209,,,,,,,,,,
Qiqi,1,5788,362,72,44,133.7,7.7,78.0,N/A,0.0,33.4,Obsidian Codex,HP,4780,19.4,ATK%:12.2 | ER%:15.5 | Crit Rate:2.7 | Crit DMG:14,Obsidian Codex,ATK,311,14.0,ER%:18.1 | EM:44 | Crit DMG:14 | HP%:4.7,,,,,,,,,,,,,,,
Jean,1,1264,353,60,0,111.0,11.6,64.8,N/A,0.0,28.0,,,,,,Obsidian Codex,ATK,311,28.0,Crit Rate:6.6 | HP%:10.5 | Crit DMG:14.8 | ER%:11,,,,,,,,,,,,,,,
Yumemizuki Mizuki,1,6068,371,59,44,100.0,11.2,98.2,N/A,0.0,60.599999999999994,Scroll of the Hero of Cinder City,HP,4780,33.4,ATK:16 | ATK%:10.5 | Crit DMG:21 | Crit Rate:6.2,Obsidian Codex,ATK,311,27.2,Crit DMG:27.2 | HP%:5.8 | EM:44 | HP:239,,,,,,,,,,,,,,,
Kachina,3,1781,377,86,0,100.0,15.5,50.0,N/A,0.0,21.0,,,,,,Obsidian Codex,ATK,311,21.0,HP:508 | Crit Rate:10.5 | ATK%:4.1 | HP%:10.5,,,,,,,,,,,,,,,
