Character,Slot,Set,Level,Main_Stat,Main_Value,Sub1,Sub1_Val,Sub2,Sub2_Val,Sub3,Sub3_Val,Sub4,Sub4_Val,Crit_Value
Mavuika,Flower,Obsidian Codex,+20,HP,4780.0,Crit DMG,14.8,ATK,16.0,EM,44.0,Crit Rate,10.1,35.0
Mavuika,Plume,Obsidian Codex,+20,ATK,311.0,Crit Rate,11.7,Crit DMG,21.8,HP%,5.8,DEF%,7.3,45.2
Mavuika,Sands,Obsidian Codex,+20,ATK%,46.6,Crit Rate,9.7,Crit DMG,6.2,HP%,9.9,EM,35,25.6
Mavuika,Goblet,Noblesse Oblige,+20,Pyro DMG%,46.6,Crit Rate,6.6,Crit DMG,18.7,ATK,14.0,DEF,56,31.9
Mavuika,Circlet,Obsidian Codex,+20,Crit DMG,62.2,ATK%,15.2,Crit Rate,6.6,EM,37.0,HP%,5.3,13.2
Citlali,Flower,Scroll of the Hero of Cinder City,+20,HP,4780.0,ER%,15.5,Crit Rate,3.9,ATK,37.0,EM,42,7.8
Citlali,Plume,Scroll of the Hero of Cinder City,+20,ATK,311.0,ER%,15.5,HP%,8.7,EM,42.0,DEF%,6.6,0.0
Citlali,Sands,Scroll of the Hero of Cinder City,+20,EM,187.0,ATK,31.0,DEF%,13.1,ER%,4.5,Crit DMG,17.1,17.1
Citlali,Goblet,Emblem of Severed Fate,+20,Electro DMG%,46.6,ER%,4.5,Crit Rate,5.8,HP%,16.3,ATK%,8.7,11.6
Citlali,Circlet,Scroll of the Hero of Cinder City,+20,EM,187.0,Crit Rate,5.4,ER%,5.2,Crit DMG,13.2,HP,747,24.0
Xilonen,Flower,Scroll of the Hero of Cinder City,+20,HP,4780.0,HP%,4.7,DEF%,13.1,ER%,10.4,ATK,58,0.0
Xilonen,Plume,Scroll of the Hero of Cinder City,+20,ATK,311.0,DEF,53.0,DEF%,12.4,EM,23.0,HP%,8.2,0.0
Xilonen,Sands,Scroll of the Hero of Cinder City,+20,ER%,51.8,DEF%,18.2,DEF,35.0,EM,16.0,Crit DMG,14.8,14.8
Xilonen,Goblet,Scroll of the Hero of Cinder City,+20,DEF%,58.3,ATK%,4.7,ER%,10.4,Crit DMG,13.2,Crit Rate,9.7,32.6
Xilonen,Circlet,Scroll of the Hero of Cinder City,+20,DEF%,58.3,DEF,39.0,HP,717.0,ER%,11.0,ATK%,4.7,0.0
Bennett,Flower,Bloodstained Chivalry,+13,HP,3358.0,HP%,4.7,ATK%,10.5,ER%,4.5,DEF,44,0.0
Bennett,Plume,Bloodstained Chivalry,+20,ATK,311.0,Crit Rate,3.5,Crit DMG,5.4,ER%,9.7,DEF,81,12.4
Bennett,Sands,Scroll of the Hero of Cinder City,+20,ER%,51.8,ATK,29.0,DEF%,7.3,HP%,4.7,Crit DMG,28,28.0
Bennett,Goblet,Bloodstained Chivalry,+11,Geo DMG%,28.8,Crit Rate,3.9,HP,239.0,ATK%,9.9,DEF%,6.6,7.8
Bennett,Circlet,Bloodstained Chivalry,+8,DEF%,28.6,HP,269.0,ATK,16.0,ER%,5.8,ATK%,9.9,0.0
Raiden Shogun,Flower,Emblem of Severed Fate,+20,HP,4780.0,ER%,16.8,HP%,5.3,ATK%,10.5,Crit DMG,11.7,11.7
Raiden Shogun,Plume,Emblem of Severed Fate,+20,ATK,311.0,Crit Rate,2.7,EM,35.0,ATK%,15.2,HP%,9.3,5.4
Raiden Shogun,Sands,Emblem of Severed Fate,+20,EM,187.0,ATK,29.0,ER%,17.5,ATK%,5.8,HP,807,0.0
Raiden Shogun,Goblet,Emblem of Severed Fate,+20,EM,187.0,ER%,10.4,DEF%,5.1,HP,986.0,ATK,18,0.0
Raiden Shogun,Circlet,Emblem of Severed Fate,+20,ATK%,46.6,Crit DMG,6.2,DEF%,13.9,ER%,14.9,EM,47,6.2
Skirk,Flower,Finale of the deep galeries,+20,HP,4780.0,Crit DMG,14.0,Crit Rate,7.4,HP%,15.7,ATK,19,28.8
Skirk,Plume,Finale of the deep galeries,+20,ATK,311.0,HP%,5.3,HP,209.0,Crit DMG,14.0,Crit Rate,13.6,41.2
Skirk,Sands,Set_15003,+20,ATK%,46.6,ER%,6.5,Crit DMG,13.2,Crit Rate,9.7,DEF,58,32.6
Skirk,Goblet,Finale of the deep galeries,+20,ATK%,46.6,Crit Rate,6.6,ATK,14.0,Crit DMG,14.8,HP,866,28.0
Skirk,Circlet,Finale of the deep galeries,+20,Crit Rate,31.1,HP,269.0,DEF,32.0,Crit DMG,26.4,ATK%,5.8,26.4
Lauma,Flower,Set_15042,+20,HP,4780.0,HP%,14.0,DEF,76.0,EM,23.0,Crit DMG,7.8,7.8
Lauma,Plume,Obsidian Codex,+20,ATK,311.0,HP%,8.7,ER%,12.3,EM,37.0,Crit Rate,5.8,11.6
Lauma,Sands,Set_15041,+20,EM,187.0,DEF,37.0,ATK%,4.1,ER%,16.2,Crit DMG,13.2,13.2
Lauma,Goblet,Set_15042,+20,EM,187.0,Crit Rate,3.5,ATK,88.0,ER%,4.5,DEF,21,7.0
Lauma,Circlet,Set_15042,+20,EM,187.0,ATK%,15.7,Crit DMG,12.4,ATK,14.0,DEF,37,12.4
Furina,Flower,Marechaussee Hunter,+20,HP,4780.0,HP%,9.9,ATK,18.0,Crit Rate,9.3,Crit DMG,19.4,38.0
Furina,Plume,Golden Troupe,+20,ATK,311.0,HP%,11.1,Crit Rate,7.0,ER%,11.7,EM,37,14.0
Furina,Sands,Golden Troupe,+20,ER%,51.8,HP%,9.9,Crit DMG,12.4,ATK,14.0,DEF%,18.2,12.4
Furina,Goblet,Golden Troupe,+20,HP%,46.6,ATK%,4.1,DEF,35.0,Crit Rate,6.2,Crit DMG,18.7,31.1
Furina,Circlet,Golden Troupe,+20,Crit Rate,31.1,ER%,16.2,HP%,11.7,ATK,31.0,DEF,16,0.0
Xingqiu,Flower,Emblem of Severed Fate,+20,HP,4780.0,ER%,15.5,EM,23.0,Crit DMG,6.2,DEF,60,6.2
Xingqiu,Plume,Emblem of Severed Fate,+10,ATK,179.0,ER%,6.5,HP,209.0,Crit Rate,7.8,DEF%,5.1,15.6
Xingqiu,Sands,Noblesse Oblige,+20,ATK%,46.6,HP%,8.2,Crit Rate,9.7,EM,40.0,ER%,6.5,19.4
Xingqiu,Goblet,Scroll of the Hero of Cinder City,+20,HP%,46.6,DEF%,14.6,DEF,69.0,ATK%,11.1,ATK,33,0.0
Xingqiu,Circlet,Scroll of the Hero of Cinder City,+20,Crit DMG,62.2,DEF,39.0,EM,23.0,ER%,20.1,HP,478,0.0
ID_10000005,Flower,Set_10009,+10,HP,1649.0,DEF,9.0,Crit Rate,1.9,EM,14.0,,,3.8
ID_10000005,Plume,Set_10009,+12,ATK,185.0,ATK%,4.7,Crit DMG,9.3,DEF%,8.7,HP%,4.2,9.3
ID_10000005,Sands,Gladiator's Finale,+16,ATK%,34.8,DEF%,9.3,DEF,19.0,Crit DMG,5.6,ATK,26,5.6
ID_10000005,Goblet,Set_10005,+12,ATK%,23.1,DEF,9.0,Crit Rate,1.6,ER%,3.5,HP,287,3.2
ID_10000005,Circlet,Set_10005,+9,HP%,22.3,DEF,17.0,ER%,4.7,DEF%,4.7,ATK,14,0.0
