Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Mavuika,90,19967,2089,905,117,100.0,49.7,212.0,Pyro,46.6,150.9,5
Citlali,90,20077,1011,913,793,145.3,20.2,80.3,Electro,46.6,60.5,5
Xilonen,90,19492,1167,3524,40,183.5,14.7,78.0,N/A,0.0,47.400000000000006,2
Bennett,90,17419,1397,1224,0,253.7,16.4,83.4,Geo,28.8,48.199999999999996,1
Raiden Shogun,90,21360,1843,939,455,239.5,7.7,67.9,Electro,55.8,23.3,4
Skirk,90,21148,2437,896,0,106.5,73.4,170.8,Cryo,15.0,157.0,1
Lauma,90,17856,1328,840,935,199.0,14.3,83.4,N/A,0.0,51.99999999999999,5
Furina,90,33735,1100,873,37,240.9,77.8,100.5,N/A,0.0,95.5,1
Xingqiu,80,19488,677,973,86,188.6,22.5,118.4,Hydro,20.0,41.2,5
ID_10000005,80,14191,682,795,29,128.2,20.5,64.9,N/A,0.0,21.900000000000002,1
