Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Mavuika,90,19967,2089,905,117,100.0,49.7,212.0,Pyro,46.6,150.9,Obsidian Codex,HP,4780,35.0,Crit DMG:14.8 | ATK:16 | EM:44 | Crit Rate:10.1,Obsidian Codex,ATK,311,45.2,Crit Rate:11.7 | Crit DMG:21.8 | HP%:5.8 | DEF%:7.3,Obsidian Codex,ATK%,46.6,25.6,Crit Rate:9.7 | Crit DMG:6.2 | HP%:9.9 | EM:35,Noblesse Oblige,Pyro DMG%,46.6,31.9,Crit Rate:6.6 | Crit DMG:18.7 | ATK:14 | DEF:56,Obsidian Codex,Crit DMG,62.2,13.2,ATK%:15.2 | Crit Rate:6.6 | EM:37 | HP%:5.3
Citlali,90,20077,1011,913,793,145.3,20.2,80.3,Electro,46.6,60.5,Scroll of the Hero of Cinder City,HP,4780,7.8,ER%:15.5 | Crit Rate:3.9 | ATK:37 | EM:42,Scroll of the Hero of Cinder City,ATK,311,0.0,ER%:15.5 | HP%:8.7 | EM:42 | DEF%:6.6,Scroll of the Hero of Cinder City,EM,187.0,17.1,ATK:31 | DEF%:13.1 | ER%:4.5 | Crit DMG:17.1,Emblem of Severed Fate,Electro DMG%,46.6,11.6,ER%:4.5 | Crit Rate:5.8 | HP%:16.3 | ATK%:8.7,Scroll of the Hero of Cinder City,EM,187.0,24.0,Crit Rate:5.4 | ER%:5.2 | Crit DMG:13.2 | HP:747
Xilonen,90,19492,1167,3524,40,183.5,14.7,78.0,N/A,0.0,47.400000000000006,Scroll of the Hero of Cinder City,HP,4780,0.0,HP%:4.7 | DEF%:13.1 | ER%:10.4 | ATK:58,Scroll of the Hero of Cinder City,ATK,311,0.0,DEF:53 | DEF%:12.4 | EM:23 | HP%:8.2,Scroll of the Hero of Cinder City,ER%,51.8,14.8,DEF%:18.2 | DEF:35 | EM:16 | Crit DMG:14.8,Scroll of the Hero of Cinder City,DEF%,58.3,32.6,ATK%:4.7 | ER%:10.4 | Crit DMG:13.2 | Crit Rate:9.7,Scroll of the Hero of Cinder City,DEF%,58.3,0.0,DEF:39 | HP:717 | ER%:11 | ATK%:4.7
Bennett,90,17419,1397,1224,0,253.7,16.4,83.4,Geo,28.8,48.199999999999996,Bloodstained Chivalry,HP,3358,0.0,HP%:4.7 | ATK%:10.5 | ER%:4.5 | DEF:44,Bloodstained Chivalry,ATK,311,12.4,Crit Rate:3.5 | Crit DMG:5.4 | ER%:9.7 | DEF:81,Scroll of the Hero of Cinder City,ER%,51.8,28.0,ATK:29 | DEF%:7.3 | HP%:4.7 | Crit DMG:28,Bloodstained Chivalry,Geo DMG%,28.8,7.8,Crit Rate:3.9 | HP:239 | ATK%:9.9 | DEF%:6.6,Bloodstained Chivalry,DEF%,28.6,0.0,HP:269 | ATK:16 | ER%:5.8 | ATK%:9.9
Raiden Shogun,90,21360,1843,939,455,239.5,7.7,67.9,Electro,55.8,23.3,Emblem of Severed Fate,HP,4780,11.7,ER%:16.8 | HP%:5.3 | ATK%:10.5 | Crit DMG:11.7,Emblem of Severed Fate,ATK,311,5.4,Crit Rate:2.7 | EM:35 | ATK%:15.2 | HP%:9.3,Emblem of Severed Fate,EM,187.0,0.0,ATK:29 | ER%:17.5 | ATK%:5.8 | HP:807,Emblem of Severed Fate,EM,187.0,0.0,ER%:10.4 | DEF%:5.1 | HP:986 | ATK:18,Emblem of Severed Fate,ATK%,46.6,6.2,Crit DMG:6.2 | DEF%:13.9 | ER%:14.9 | EM:47
Skirk,90,21148,2437,896,0,106.5,73.4,170.8,Cryo,15.0,157.0,Finale of the deep galeries,HP,4780,28.8,Crit DMG:14 | Crit Rate:7.4 | HP%:15.7 | ATK:19,Finale of the deep galeries,ATK,311,41.2,HP%:5.3 | HP:209 | Crit DMG:14 | Crit Rate:13.6,Set_15003,ATK%,46.6,32.6,ER%:6.5 | Crit DMG:13.2 | Crit Rate:9.7 | DEF:58,Finale of the deep galeries,ATK%,46.6,28.0,Crit Rate:6.6 | ATK:14 | Crit DMG:14.8 | HP:866,Finale of the deep galeries,Crit Rate,31.1,26.4,HP:269 | DEF:32 | Crit DMG:26.4 | ATK%:5.8
Lauma,90,17856,1328,840,935,199.0,14.3,83.4,N/A,0.0,51.99999999999999,Set_15042,HP,4780,7.8,HP%:14 | DEF:76 | EM:23 | Crit DMG:7.8,Obsidian Codex,ATK,311,11.6,HP%:8.7 | ER%:12.3 | EM:37 | Crit Rate:5.8,Set_15041,EM,187.0,13.2,DEF:37 | ATK%:4.1 | ER%:16.2 | Crit DMG:13.2,Set_15042,EM,187.0,7.0,Crit Rate:3.5 | ATK:88 | ER%:4.5 | DEF:21,Set_15042,EM,187.0,12.4,ATK%:15.7 | Crit DMG:12.4 | ATK:14 | DEF:37
Furina,90,33735,1100,873,37,240.9,77.8,100.5,N/A,0.0,95.5,Marechaussee Hunter,HP,4780,38.0,HP%:9.9 | ATK:18 | Crit Rate:9.3 | Crit DMG:19.4,Golden Troupe,ATK,311,14.0,HP%:11.1 | Crit Rate:7 | ER%:11.7 | EM:37,Golden Troupe,ER%,51.8,12.4,HP%:9.9 | Crit DMG:12.4 | ATK:14 | DEF%:18.2,Golden Troupe,HP%,46.6,31.1,ATK%:4.1 | DEF:35 | Crit Rate:6.2 | Crit DMG:18.7,Golden Troupe,Crit Rate,31.1,0.0,ER%:16.2 | HP%:11.7 | ATK:31 | DEF:16
Xingqiu,80,19488,677,973,86,188.6,22.5,118.4,Hydro,20.0,41.2,Emblem of Severed Fate,HP,4780,6.2,ER%:15.5 | EM:23 | Crit DMG:6.2 | DEF:60,Emblem of Severed Fate,ATK,179,15.6,ER%:6.5 | HP:209 | Crit Rate:7.8 | DEF%:5.1,Noblesse Oblige,ATK%,46.6,19.4,HP%:8.2 | Crit Rate:9.7 | EM:40 | ER%:6.5,Scroll of the Hero of Cinder City,HP%,46.6,0.0,DEF%:14.6 | DEF:69 | ATK%:11.1 | ATK:33,Scroll of the Hero of Cinder City,Crit DMG,62.2,0.0,DEF:39 | EM:23 | ER%:20.1 | HP:478
ID_10000005,80,14191,682,795,29,128.2,20.5,64.9,N/A,0.0,21.900000000000002,Set_10009,HP,1649,3.8,DEF:9 | Crit Rate:1.9 | EM:14,Set_10009,ATK,185,9.3,ATK%:4.7 | Crit DMG:9.3 | DEF%:8.7 | HP%:4.2,Gladiator's Finale,ATK%,34.8,5.6,DEF%:9.3 | DEF:19 | Crit DMG:5.6 | ATK:26,Set_10005,ATK%,23.1,3.2,DEF:9 | Crit Rate:1.6 | ER%:3.5 | HP:287,Set_10005,HP%,22.3,0.0,DEF:17 | ER%:4.7 | DEF%:4.7 | ATK:14
