Character,Slot,Set,Level,Main_Stat,Main_Value,Sub1,Sub1_Val,Sub2,Sub2_Val,Sub3,Sub3_Val,Sub4,Sub4_Val,Crit_Value
Neuvillette,Flower,Marechaussee Hunter,+20,HP,4780.0,ATK,33.0,Crit Rate,10.1,ER%,5.2,Crit DMG,14.8,35.0
Neuvillette,Plume,Marechaussee Hunter,+20,ATK,311.0,HP%,21.0,ER%,4.5,Crit Rate,7.0,Crit DMG,5.4,19.4
Neuvillette,Sands,Set_14004,+20,HP%,46.6,Crit Rate,9.7,ATK,33.0,Crit DMG,11.7,HP,598.0,31.1
Neuvillette,Goblet,Marechaussee Hunter,+20,HP%,46.6,ER%,11.7,Crit Rate,10.9,ATK,39.0,EM,40.0,21.8
Neuvillette,Circlet,Marechaussee Hunter,+20,Crit DMG,62.2,DEF,56.0,HP,299.0,Crit Rate,7.4,EM,47.0,14.8
Furina,Flower,Golden Troupe,+20,HP,4780.0,Crit Rate,10.1,HP%,11.1,ATK%,13.4,DEF%,5.1,20.2
Furina,Plume,Golden Troupe,+20,ATK,311.0,Crit Rate,3.5,Crit DMG,12.4,HP,837.0,DEF%,12.4,19.4
Furina,Sands,Golden Troupe,+20,HP%,46.6,Crit Rate,3.5,Crit DMG,7.8,DEF%,12.4,ATK%,18.6,14.8
Furina,Goblet,Golden Troupe,+20,HP%,46.6,Crit DMG,17.9,ER%,4.5,EM,40.0,DEF,42.0,17.9
Furina,Circlet,Set_14003,+20,Crit DMG,62.2,HP%,5.3,Crit Rate,10.5,ER%,11.0,EM,35.0,21.0
Kaedehara Kazuha,Flower,Noblesse Oblige,+20,HP,4780.0,EM,77.0,Crit DMG,10.9,HP%,5.8,ATK%,5.3,10.9
Kaedehara Kazuha,Plume,Wanderer's Troupe,+20,ATK,311.0,EM,61.0,HP%,11.1,ER%,6.5,Crit Rate,10.1,20.2
Kaedehara Kazuha,Sands,Wanderer's Troupe,+20,EM,187.0,ATK,19.0,ER%,9.7,Crit Rate,8.9,DEF,42.0,17.8
Kaedehara Kazuha,Goblet,Wanderer's Troupe,+20,EM,187.0,ER%,11.0,HP,239.0,DEF,60.0,Crit DMG,10.9,10.9
Kaedehara Kazuha,Circlet,Wanderer's Troupe,+20,EM,187.0,HP,747.0,ER%,18.1,DEF,19.0,DEF%,11.7,0.0
Navia,Flower,Nighttime Whispers in the Echoing Woods,+20,HP,4780.0,ATK,33.0,Crit DMG,5.4,HP%,12.8,Crit Rate,7.8,21.0
Navia,Plume,Nighttime Whispers in the Echoing Woods,+20,ATK,311.0,HP,747.0,Crit Rate,3.1,Crit DMG,11.7,ER%,18.8,17.9
Navia,Sands,Nighttime Whispers in the Echoing Woods,+20,ATK%,46.6,Crit DMG,27.2,Crit Rate,6.2,ER%,12.3,DEF,23.0,39.6
Navia,Goblet,Nighttime Whispers in the Echoing Woods,+20,Geo DMG%,46.6,Crit DMG,6.2,ATK%,4.7,DEF%,24.1,Crit Rate,7.8,21.8
Navia,Circlet,Thundering Fury,+20,Crit Rate,31.1,EM,37.0,ER%,14.9,Crit DMG,14.0,ATK%,9.9,14.0
Chasca,Flower,Obsidian Codex,+20,HP,4780.0,Crit Rate,11.3,ATK%,9.9,DEF%,14.6,Crit DMG,7.0,29.6
Chasca,Plume,Obsidian Codex,+20,ATK,311.0,EM,42.0,Crit DMG,7.8,Crit Rate,10.1,DEF,37.0,28.0
Chasca,Sands,Obsidian Codex,+20,ATK%,46.6,Crit Rate,12.4,Crit DMG,13.2,EM,23.0,ATK,14.0,38.0
Chasca,Goblet,Obsidian Codex,+20,HP%,46.6,ER%,6.5,ATK,37.0,Crit Rate,10.1,Crit DMG,10.9,31.1
Chasca,Circlet,Obsidian Codex,+20,Crit DMG,62.2,Crit Rate,2.7,ATK%,5.3,EM,44.0,ER%,22.0,5.4
Arlecchino,Flower,Fragment of Harmonic Whimsy,+20,HP,4780.0,Crit DMG,21.0,ATK,14.0,Crit Rate,6.6,EM,42.0,34.2
Arlecchino,Plume,Fragment of Harmonic Whimsy,+20,ATK,311.0,Crit Rate,6.6,Crit DMG,13.2,HP%,16.9,HP,418.0,26.4
Arlecchino,Sands,Fragment of Harmonic Whimsy,+20,ATK%,46.6,Crit Rate,8.9,Crit DMG,7.8,HP,508.0,ATK,49.0,25.6
Arlecchino,Goblet,Fragment of Harmonic Whimsy,+20,Pyro DMG%,46.6,ATK,49.0,ER%,5.2,HP,418.0,DEF%,17.5,0.0
Arlecchino,Circlet,Viridescent Venerer,+20,Crit DMG,62.2,HP,508.0,ER%,4.5,Crit Rate,9.7,HP%,9.3,19.4
Wriothesley,Flower,Marechaussee Hunter,+20,HP,4780.0,Crit Rate,7.4,Crit DMG,13.2,ATK%,8.2,EM,42.0,28.0
Wriothesley,Plume,Marechaussee Hunter,+20,ATK,311.0,Crit DMG,21.0,HP%,10.5,HP,508.0,Crit Rate,3.1,27.2
Wriothesley,Sands,Marechaussee Hunter,+20,ATK%,46.6,ATK,45.0,DEF,35.0,HP%,4.7,Crit DMG,11.7,11.7
Wriothesley,Goblet,Fragment of Harmonic Whimsy,+20,Cryo DMG%,46.6,DEF,58.0,ATK,14.0,Crit DMG,20.2,EM,16.0,20.2
Wriothesley,Circlet,Marechaussee Hunter,+20,Crit Rate,31.1,ER%,5.8,ATK,18.0,DEF%,31.3,Crit DMG,5.4,5.4
Raiden Shogun,Flower,Emblem of Severed Fate,+20,HP,4780.0,Crit DMG,13.2,Crit Rate,6.2,ATK%,4.7,ATK,64.0,25.6
Raiden Shogun,Plume,Emblem of Severed Fate,+20,ATK,311.0,ATK%,8.7,Crit DMG,19.4,Crit Rate,6.2,ER%,4.5,31.8
Raiden Shogun,Sands,Emblem of Severed Fate,+20,ER%,51.8,DEF,39.0,Crit DMG,20.2,EM,19.0,HP,508.0,20.2
Raiden Shogun,Goblet,Unfinished Reverie,+20,Electro DMG%,46.6,ER%,17.5,DEF,21.0,Crit DMG,14.8,ATK%,9.3,14.8
Raiden Shogun,Circlet,Emblem of Severed Fate,+20,Crit Rate,31.1,Crit DMG,7.0,ATK,49.0,DEF,35.0,ATK%,9.9,7.0
Flins,Flower,Set_15041,+20,HP,4780.0,Crit DMG,20.2,DEF%,11.7,Crit Rate,6.2,DEF,21.0,32.6
Flins,Plume,Set_15041,+20,ATK,311.0,Crit DMG,28.8,DEF,44.0,ATK%,5.3,Crit Rate,3.5,35.8
Flins,Sands,Set_15041,+20,ATK%,46.6,HP%,14.6,Crit Rate,7.4,DEF%,14.6,Crit DMG,7.0,21.8
Flins,Goblet,Set_15041,+20,EM,187.0,HP,568.0,ATK%,11.1,Crit DMG,21.0,ER%,4.5,21.0
Flins,Circlet,Set_15003,+20,Crit Rate,31.1,Crit DMG,21.8,EM,44.0,ER%,11.0,ATK,18.0,21.8
